MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		mature B cell differentiation involved in immune response			IMP		J:251374 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation	affects a population of T1 B cell,happens in spleen		IMP	MGI:2153718 	J:147102 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	happens in bone marrow,affects a population of precursor B cell		IGI	MGI:96561 	J:28795 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	happens in B cell,happens in spleen		IMP	MGI:1856663 	J:34903 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	affects a population of B cell,happens in spleen		IMP	MGI:2153718 	J:66085 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		transitional one stage B cell differentiation	happens in spleen		IMP	MGI:2153718 	J:147102 	
MGI:87916	Ada	adenosine deaminase	2		germinal center B cell differentiation	happens in spleen,results in the differentiation of germinal center B cell		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of B cell proliferation	regulates the proliferation of mature B cell		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		B cell differentiation			IMP		J:143629 	
MGI:1859670	Adgrg3	adhesion G protein-coupled receptor G3	8		B cell differentiation			IMP		J:222670 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		B cell differentiation			TAS		J:175187 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		regulation of B cell proliferation			ISO	P35869 	J:164563 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching	happens in mature B cell		IMP		J:126758 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching			IMP		J:172192 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	regulation of B cell differentiation			IMP		J:235782 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		regulation of isotype switching	regulates a function/process that happens in spleen,regulates a function/process that happens in B cell		IMP	MGI:4128102 	J:168260 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		B cell proliferation	affects a population of B cell		IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		isotype switching	happens in B cell		IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		positive regulation of B cell proliferation			IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		positive regulation of isotype switching to IgG isotypes			IMP	MGI:4127920 	J:230702 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		negative regulation of B cell proliferation			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		pre-B cell allelic exclusion			IMP		J:149451 	
MGI:1859661	Atp11c	ATPase, class VI, type 11C	X		positive regulation of B cell differentiation			IMP		J:171924 	
MGI:1859661	Atp11c	ATPase, class VI, type 11C	X		pre-B cell differentiation			IMP		J:171924 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of B cell differentiation			IMP	MGI:3029528 	J:88139 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		B cell negative selection	has the participant B cell		IGI	MGI:99702 	J:100463 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		B cell activation			IBA	PTN002701876 	J:265628 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		B cell activation			ISO	Q8NDB2 	J:164563 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		negative regulation of B cell activation			IBA	PTN002701876 	J:265628 	
MGI:2442120	Bank1	B cell scaffold protein with ankyrin repeats 1	3		negative regulation of B cell activation			IGI	MGI:88336 	J:113321 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		isotype switching			IMP		J:160935 J:172119 	
MGI:99702	Bax	BCL2-associated X protein	7		B cell homeostatic proliferation			IMP	MGI:1857429 	J:29253 	
MGI:99702	Bax	BCL2-associated X protein	7		B cell negative selection	has the participant B cell		IGI	MGI:1097161 	J:100463 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell differentiation	happens in bone marrow		IMP	MGI:2156165 	J:38087 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell lineage commitment	happens in bone marrow,results in a cell's commitment to B cell		IMP	MGI:2156165 	J:31364 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell proliferation			ISO	P10415 	J:946 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		positive regulation of B cell proliferation			ISO	P10415 	J:164563 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		marginal zone B cell differentiation			IMP	MGI:1861796 	J:38092 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		B cell differentiation	results in the differentiation of B cell		IGI	MGI:88337 	J:87846 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IGI	MGI:103034 	J:57856 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IMP	MGI:2158438 	J:57856 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		positive regulation of B cell proliferation	regulates a function/process that happens in spleen lymphoid follicle		IMP	MGI:2158437 	J:40769 	
MGI:106190	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	11		B cell differentiation			IMP	MGI:2663941 	J:83646 	
MGI:96878	Blnk	B cell linker	19		B cell activation			IEA	KW-0075 	J:60000 	
MGI:88174	Bmi1	Bmi1 polycomb ring finger oncogene	2		positive regulation of B cell proliferation			IMP		J:105559 	
MGI:105370	Bst1	bone marrow stromal cell antigen 1	5		positive regulation of B cell proliferation			IBA	PTN000857252 	J:265628 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		B cell affinity maturation			IMP	MGI:1856317 	J:17954 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		negative regulation of B cell proliferation			IMP	MGI:1856317 	J:17954 	
MGI:2658978	Btla	B and T lymphocyte associated	16		negative regulation of B cell proliferation			IMP	MGI:3027713 	J:84084 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		B cell differentiation			IMP	MGI:3045950 	J:84036 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		B cell proliferation			IMP	MGI:3045950 	J:84036 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		positive regulation of B cell proliferation	regulates the proliferation of B cell		IMP	MGI:3039682 	J:89322 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		regulation of B cell differentiation			IMP	MGI:3039682 	J:89322 	
MGI:107739	Casp3	caspase 3	8		negative regulation of B cell proliferation			IMP	MGI:2178778 	J:85809 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17		isotype switching to IgA isotypes			IMP		J:233674 	
MGI:88319	Cd19	CD19 antigen	7		B cell proliferation involved in immune response			ISO	P15391 	J:164563 	
MGI:88319	Cd19	CD19 antigen	7		B-1 B cell differentiation			IMP		J:27463 	
MGI:88319	Cd19	CD19 antigen	7		regulation of B cell activation			ISO	P15391 	J:164563 	
MGI:88322	Cd22	CD22 antigen	7		B cell activation			ISO	P20273 	J:164563 	
MGI:88322	Cd22	CD22 antigen	7		regulation of B cell proliferation	happens in B-1 B cell,regulates a function/process that happens in B-1 B cell,happens in bone marrow|happens in B-1 B cell,regulates a function/process that happens in B-1 B cell,happens in spleen|happens in follicular B cell,regulates a function/process that happens in follicular B cell,happens in spleen|happens in marginal zone B cell,regulates a function/process that happens in marginal zone B cell,happens in spleen|happens in B-2 B cell,regulates a function/process that happens in B-2 B cell,happens in spleen|happens in B-1a B cell,regulates a function/process that happens in B-1a B cell,happens in peritoneal cavity		IGI	Q80ZE3 	J:160078 	
MGI:88323	Cd24a	CD24a antigen	10		negative regulation of B cell proliferation	regulates the proliferation of mature B cell		IDA		J:125136 	
MGI:88323	Cd24a	CD24a antigen	10		pre-B cell differentiation	results in the differentiation of immature B cell		IMP	MGI:2179996 	J:27374 J:76695 	
MGI:88323	Cd24a	CD24a antigen	10		regulation of B cell differentiation	regulates the differentiation of B cell		IMP	MGI:2179996 	J:27374 	
MGI:88323	Cd24a	CD24a antigen	10		regulation of B cell differentiation	regulates the differentiation of immature B cell		IMP	MGI:2179996 	J:76695 	
MGI:88326	Cd27	CD27 antigen	6		B cell proliferation			NAS		J:113841 	
MGI:88326	Cd27	CD27 antigen	6		positive regulation of B cell differentiation			IEA	IPR022328 IPR034000 	J:72247 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of isotype switching to IgG isotypes			IMP	MGI:1857150 	J:14194 	
MGI:107474	Cd38	CD38 antigen	5		positive regulation of B cell proliferation			IBA	PTN000857252 	J:265628 	
MGI:107474	Cd38	CD38 antigen	5		positive regulation of B cell proliferation	regulates the proliferation of B cell		IDA		J:33466 	
MGI:107474	Cd38	CD38 antigen	5		positive regulation of B cell proliferation			ISO	P28907 	J:164563 	
MGI:88336	Cd40	CD40 antigen	2		B cell activation			IDA		J:87555 J:113321 	
MGI:88336	Cd40	CD40 antigen	2		B cell activation			ISO	RGD:619830 	J:155856 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of B cell proliferation	regulates the proliferation of B cell		IDA		J:33466 J:64603 J:75401 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of B cell proliferation	regulates the proliferation of mature B cell		IDA		J:106733 J:125136 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of B cell proliferation	regulates a function/process that happens in spleen,regulates the proliferation of B cell		IGI	MGI:87891 	J:103908 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of isotype switching to IgG isotypes			IDA		J:84929 	
MGI:88337	Cd40lg	CD40 ligand	X		B cell differentiation	results in the differentiation of B cell		IGI	MGI:96556 	J:87846 	
MGI:88337	Cd40lg	CD40 ligand	X		B cell proliferation			ISO	P29965 	J:164563 	
MGI:88337	Cd40lg	CD40 ligand	X		isotype switching			IDA		J:113688 	
MGI:88337	Cd40lg	CD40 ligand	X		positive regulation of B cell proliferation			ISO	RGD:708418 	J:155856 	
MGI:1195273	Cd70	CD70 antigen	17		B cell proliferation			ISO	P32970 	J:164563 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of B cell proliferation			ISO	P04233 	J:164563 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell activation			IMP		J:113407 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell differentiation			IBA	PTN000371571 	J:265628 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell differentiation			IMP		J:71100 J:87492 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell proliferation			IMP		J:113407 	
MGI:96431	Cd79b	CD79B antigen	11		B cell differentiation			IBA	PTN000371571 	J:265628 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of B cell activation			IMP		J:195115 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of B cell proliferation			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of B cell proliferation			TAS		J:114144 	
MGI:101773	Cd86	CD86 antigen	16		B cell activation			IDA		J:152781 	
MGI:1194924	Cd180	CD180 antigen	13		B cell proliferation involved in immune response			IBA	PTN001223121 	J:265628 	
MGI:1194924	Cd180	CD180 antigen	13		B cell proliferation involved in immune response	affects a population of B cell		IMP	MGI:3581654 	J:63145 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of B cell proliferation			ISO	Q9UGN4 	J:164563 	
MGI:1860083	Cd320	CD320 antigen	17		B cell costimulation			ISO	Q9NPF0 	J:164563 	
MGI:1860083	Cd320	CD320 antigen	17		positive regulation of B cell proliferation			ISO	Q9NPF0 	J:164563 	
MGI:1095414	Cdh17	cadherin 17	4		B cell differentiation	happens in bone marrow,happens in spleen,happens in peritoneal cavity,happens in precursor B cell,happens near plasma membrane		IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4		germinal center B cell differentiation			IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4		marginal zone B cell differentiation			IMP		J:96738 	
MGI:104556	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	17		positive regulation of B cell proliferation			IGI	MGI:107739 	J:85809 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		negative regulation of B cell proliferation			IMP		J:105559 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		B cell activation	has the participant spleen,has the participant B cell		IMP	MGI:1926251 	J:103908 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		B cell activation	has the participant spleen,has the participant B cell		IMP	MGI:1888407 	J:103908 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		B cell activation	has the participant bone marrow,has the participant B cell|has the participant spleen,has the participant B cell		IMP	MGI:1888407 	J:112766 	
MGI:87891	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	3		B cell activation	has the participant spleen,has the participant B cell		IMP	MGI:1926253 	J:103908 J:112766 	
MGI:87891	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	3		positive regulation of B cell proliferation	regulates a function/process that happens in midbrain,regulates the proliferation of dopaminergic neuron|regulates a function/process that happens in midbrain,regulates the proliferation of GABAergic neuron		IC	GO:0022848 	J:109365 	
MGI:87891	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	3		positive regulation of B cell proliferation	regulates a function/process that happens in spleen,regulates the proliferation of B cell		IGI	MGI:88336 	J:103908 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		B cell differentiation			IDA		J:57927 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of B cell proliferation			IBA	PTN000482584 	J:265628 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of B cell proliferation			IDA		J:133136 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of isotype switching to IgE isotypes			IDA		J:133136 	
MGI:2447166	Cmtm7	CKLF-like MARVEL transmembrane domain containing 7	9		B-1a B cell differentiation			IMP		J:207033 	
MGI:88489	Cr2	complement receptor 2	1		B cell activation			IMP	MGI:2154453 	J:73128 	
MGI:88489	Cr2	complement receptor 2	1		B cell differentiation			ISO	P20023 	J:164563 	
MGI:88489	Cr2	complement receptor 2	1		B cell proliferation			ISO	P20023 	J:164563 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		negative regulation of B cell proliferation			ISO	P16410 	J:164563 	
MGI:1858304	Ctps	cytidine 5'-triphosphate synthase	4		B cell proliferation			ISO	P17812 	J:164563 	
MGI:103567	Cxcr5	chemokine (C-X-C motif) receptor 5	9		B cell activation			IEA	IPR001053 	J:72247 	
MGI:103567	Cxcr5	chemokine (C-X-C motif) receptor 5	9		B cell activation			IEA	KW-0075 	J:60000 	
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	8		regulation of B cell differentiation			IMP	MGI:3664438 	J:112392 	
MGI:2445220	Dcaf1	DDB1 and CUL4 associated factor 1	9		B cell differentiation			IMP		J:181758 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2667614 	J:80995 	
MGI:104659	Dll1	delta like canonical Notch ligand 1	17		marginal zone B cell differentiation			IMP		J:90630 J:146621 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		B cell differentiation			IMP		J:222515 	
MGI:2146320	Dock10	dedicator of cytokinesis 10	1		marginal zone B cell differentiation			IMP		J:238172 	
MGI:1923224	Dock11	dedicator of cytokinesis 11	X		marginal zone B cell differentiation			IMP		J:238172 	
MGI:1276116	Ep300	E1A binding protein p300	15		B cell differentiation			IMP	MGI:3813243 	J:140200 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		isotype switching	happens in spleen,happens in B cell		IMP	MGI:2183944 	J:92471 	
MGI:1349427	Exo1	exonuclease 1	1		isotype switching			IMP	MGI:2653925 	J:87869 	
MGI:1913612	Exosc3	exosome component 3	4		isotype switching			IMP		J:173133 	
MGI:1913612	Exosc3	exosome component 3	4		positive regulation of isotype switching			IMP		J:173133 	
MGI:1919794	Exosc6	exosome component 6	8		isotype switching			IMP		J:173133 	
MGI:1919794	Exosc6	exosome component 6	8		positive regulation of isotype switching			IMP		J:173133 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		negative regulation of B cell activation	regulates a function/process that has the participant B cell		IMP	MGI:1856334 	J:7488 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		negative regulation of B cell proliferation			IMP	MGI:1857166 	J:31133 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		negative regulation of B cell proliferation	regulates the proliferation of B cell		IMP	MGI:1857166 	J:102982 	
MGI:2442862	Fcrl1	Fc receptor-like 1	3		B cell activation			ISO	Q96LA6 	J:164563 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		B cell differentiation			IBA	PTN002814388 	J:265628 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		B cell differentiation			IMP		J:170520 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		negative regulation of B cell differentiation			IDA		J:108330 	
MGI:2444668	Fnip1	folliculin interacting protein 1	11		immature B cell differentiation	happens in spleen|happens in bone marrow		IMP	MGI:5437714 	J:187318 	
MGI:1347474	Foxj1	forkhead box J1	11		negative regulation of B cell activation			IMP		J:100704 	
MGI:1914004	Foxp1	forkhead box P1	6		pre-B cell differentiation			IMP	MGI:3711150 	J:112644 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in serum		IMP	MGI:3696705 	J:117165 	
MGI:1891436	Foxp3	forkhead box P3	X		regulation of isotype switching to IgG isotypes	regulates a function/process that happens in serum		IMP	MGI:3696705 	J:117165 	
MGI:1313278	Fzd9	frizzled class receptor 9	5		B cell differentiation	happens in bone marrow		IMP	MGI:3526665 	J:98133 	
MGI:3608341	Gapt	Grb2-binding adaptor, transmembrane	13		B cell activation			IEA	KW-0075 	J:60000 	
MGI:3608341	Gapt	Grb2-binding adaptor, transmembrane	13		B cell proliferation involved in immune response			IBA	PTN002204370 	J:265628 	
MGI:3608341	Gapt	Grb2-binding adaptor, transmembrane	13		B cell proliferation involved in immune response			IMP	MGI:3809581 	J:138146 	
MGI:109368	Gimap1	GTPase, IMAP family member 1	6		B cell differentiation	happens in lymph node,results in the differentiation of B cell|happens in spleen,results in the differentiation of B cell		IMP	MGI:2449947 MGI:4459837 	J:160782 	
MGI:3701966	Gm13271	predicted gene 13271	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
