MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2182928	Adgrf5	adhesion G protein-coupled receptor F5	17		negative regulation of macrophage activation	regulates a function/process that uses lung macrophage		IMP	MGI:5547987 	J:222167 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		microglial cell activation			IGI	P05067 	J:184555 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		microglial cell activation			ISO	Q15109 	J:164563 	
MGI:1343098	Aif1	allograft inflammatory factor 1	17		microglial cell activation			NAS		J:182386 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		microglial cell activation			ISO	P05067 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		regulation of microglial cell activation			ISO	RGD:1593265 	J:155856 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		negative regulation of macrophage activation			IBA	PTN000053237 	J:265628 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		negative regulation of macrophage activation			ISO	P17213 	J:164563 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		microglial cell activation	is a part of aging,happens near amyloid-beta complex,happens in hippocampal formation		IGI	P05067 P05067,UniProtKB 	J:102186 	
MGI:88232	C5ar1	complement component 5a receptor 1	7		microglial cell activation	happens in brain,happens in UBERON:0001851		IGI	P05067 	J:151661 	
MGI:96544	Casp1	caspase 1	9		microglial cell activation			ISO	RGD:2274 	J:155856 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of macrophage activation			IDA		J:172134 	
MGI:1336885	Cd84	CD84 antigen	1		regulation of macrophage activation			IDA		J:227381 	
MGI:1196990	Cd200	CD200 antigen	16		negative regulation of macrophage activation			IMP		J:65982 	
MGI:99480	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	7		positive regulation of macrophage activation	happens in bone marrow macrophage		IMP		J:263417 	
MGI:88423	Clu	clusterin	14		microglial cell activation			ISO	P10909 	J:164563 	
MGI:1917711	Crtc3	CREB regulated transcription coactivator 3	7		macrophage activation			ISO	Q6UUV7 	J:164563 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		macrophage activation			IBA	PTN000006643 	J:265628 	
MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	11		macrophage activation			ISO	RGD:621065 	J:155856 	
MGI:1298217	Cst7	cystatin F (leukocystatin)	2		negative regulation of microglial cell activation			IMP	MGI:5910746 	J:242069 	
MGI:109553	Ctsc	cathepsin C	7		positive regulation of microglial cell activation			IDA		J:242069 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		microglial cell activation			ISO	RGD:620458 	J:155856 	
MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	8		negative regulation of microglial cell activation			ISO	RGD:620458 	J:155856 	
MGI:1333815	Cx3cr1	chemokine (C-X3-C motif) receptor 1	9		microglial cell activation			ISO	RGD:620137 	J:155856 	
MGI:1333815	Cx3cr1	chemokine (C-X3-C motif) receptor 1	9		microglial cell activation involved in immune response		PR:Q9Z0D9-1	IMP	MGI:2670351 	J:110266 	
MGI:1349385	Dysf	dysferlin	6		macrophage activation involved in immune response			IBA	PTN002648790 	J:265628 	
MGI:1349385	Dysf	dysferlin	6		macrophage activation involved in immune response			IMP	MGI:1857883 	J:132272 	
MGI:1349385	Dysf	dysferlin	6		macrophage activation involved in immune response			ISO	O75923 	J:132272 	
MGI:95284	Edn2	endothelin 2	4		macrophage activation			ISO	P20800 	J:164563 	
MGI:1278319	Fpr2	formyl peptide receptor 2	17		microglial cell activation			ISO	RGD:1584013 	J:155856 	
MGI:1891463	Gpr137b	G protein-coupled receptor 137B	13		regulation of macrophage activation			IMP		J:281215 	
MGI:95832	Grn	granulin	11		microglial cell activation involved in immune response			IMP		J:156824 	
MGI:95832	Grn	granulin	11		negative regulation of microglial cell activation			IMP		J:188324 	
MGI:1306817	H60a	histocompatibility 60a	10		positive regulation of macrophage activation			IDA		J:82077 	
MGI:1933533	Hamp	hepcidin antimicrobial peptide	7		positive regulation of macrophage activation	regulates a function/process that happens in artery		IMP		J:196933 	
MGI:2159682	Havcr2	hepatitis A virus cellular receptor 2	11		macrophage activation involved in immune response			IMP		J:187594 	
MGI:2159682	Havcr2	hepatitis A virus cellular receptor 2	11		positive regulation of macrophage activation	happens in lung,happens in spleen,happens in macrophage,happens at the same time as positive regulation of interleukin-1 production,uses UniProtKB:P29452,uses UniProtKB:P13504,happens in alveolar macrophage,happens in peritoneal macrophage		IMP	O08573 	J:166066 	
MGI:96113	Hmgb1	high mobility group box 1	5		macrophage activation involved in immune response			IMP		J:154027 	
MGI:96242	Hspd1	heat shock protein 1 (chaperonin)	1		positive regulation of macrophage activation			ISO	P10809 	J:164563 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		macrophage activation involved in immune response			ISO	RGD:2865 	J:155856 	
MGI:107656	Ifng	interferon gamma	10		microglial cell activation	happens in microglial cell,positively regulates neuron death,happens in cerebral cortex		IGI	CPX-1062 	J:274855 	
MGI:107656	Ifng	interferon gamma	10		microglial cell activation	happens in hippocampal formation		IGI	P05067 	J:160440 	
MGI:107656	Ifng	interferon gamma	10		microglial cell activation	happens in microglial cell		IGI	P05067 P49768 	J:232260 	
MGI:107656	Ifng	interferon gamma	10		microglial cell activation			ISO	RGD:2866 	J:155856 	
MGI:107656	Ifng	interferon gamma	10		microglial cell activation			ISO	P01579 	J:164563 	
MGI:107655	Ifngr1	interferon gamma receptor 1	10		microglial cell activation	happens in hippocampal formation|happens in cerebral cortex		IGI	P05067 	J:117817 	
MGI:107655	Ifngr1	interferon gamma receptor 1	10		microglial cell activation			ISO	RGD:620570 	J:155856 	
MGI:107654	Ifngr2	interferon gamma receptor 2	16		microglial cell activation			ISO	RGD:1307532 	J:155856 	
MGI:98427	Il1rl1	interleukin 1 receptor-like 1	1		positive regulation of macrophage activation			IMP		J:157197 	
MGI:96556	Il4	interleukin 4	11		microglial cell activation			ISO	RGD:2898 	J:155856 	
MGI:96556	Il4	interleukin 4	11		negative regulation of macrophage activation			ISO	RGD:2898 	J:155856 	
MGI:105367	Il4ra	interleukin 4 receptor, alpha	7		positive regulation of macrophage activation			IMP		J:157197 	
MGI:96537	Il10	interleukin 10	1		positive regulation of macrophage activation			ISO	RGD:2886 	J:155856 	
MGI:96541	Il13	interleukin 13	11		microglial cell activation			ISO	RGD:68949 	J:155856 	
MGI:96541	Il13	interleukin 13	11		positive regulation of macrophage activation			IMP		J:157197 	
MGI:1924375	Il33	interleukin 33	19		macrophage activation involved in immune response			IDA		J:229370 	
MGI:1924375	Il33	interleukin 33	19		microglial cell activation involved in immune response			IDA		J:172530 	
MGI:1924375	Il33	interleukin 33	19		positive regulation of macrophage activation			IDA		J:157197 	
MGI:1924375	Il33	interleukin 33	19		positive regulation of macrophage activation			ISO	O95760 	J:164563 	
MGI:96607	Itgam	integrin alpha M	7		microglial cell activation	happens in midbrain,is a part of cellular response to stress		IMP		J:140934 	
MGI:96607	Itgam	integrin alpha M	7		microglial cell activation	is a part of cellular response to stress		IMP		J:140934 	
MGI:96629	Jak2	Janus kinase 2	19		microglial cell activation	happens in microglial cell		IGI	P01580 	J:232260 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		macrophage activation	has the participant macrophage		IMP	MGI:3580706 	J:98905 	
MGI:96646	Jun	jun proto-oncogene	4		microglial cell activation	happens in facial nerve		IMP	MGI:2445420 	J:130619 	
MGI:1934754	Kars	lysyl-tRNA synthetase	8		positive regulation of macrophage activation			IBA	PTN002873036 	J:265628 	
MGI:1934754	Kars	lysyl-tRNA synthetase	8		positive regulation of macrophage activation			ISO	Q15046 	J:164563 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		macrophage activation involved in immune response			IBA	PTN000053220 	J:265628 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		macrophage activation involved in immune response			IDA		J:139341 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		macrophage activation involved in immune response			ISO	P18428 	J:164563 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		positive regulation of macrophage activation			IBA	PTN000053220 	J:265628 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		positive regulation of macrophage activation			ISO	RGD:61865 	J:155856 	
MGI:1098776	Lbp	lipopolysaccharide binding protein	2		positive regulation of macrophage activation			ISO	P18428 	J:164563 	
MGI:96765	Ldlr	low density lipoprotein receptor	9		negative regulation of microglial cell activation	regulates a function/process that happens in cerebral cortex|regulates a function/process that happens in hippocampal formation		IGI	P05067 P49768 	J:155809 	
