MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IMP		J:132588 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IDA		J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IMP	MGI:2155986 	J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IDA		J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IMP	MGI:2155986 	J:84007 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		mast cell activation			NAS		J:116420 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		histamine secretion by mast cell			ISO	RGD:1359683 	J:155856 	
MGI:88339	Cd48	CD48 antigen	1		mast cell activation			ISO	RGD:620620 	J:155856 	
MGI:1336885	Cd84	CD84 antigen	1		negative regulation of mast cell activation			ISO	Q9UIB8 	J:164563 	
MGI:1336885	Cd84	CD84 antigen	1		negative regulation of mast cell degranulation			ISO	Q9UIB8 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of mast cell activation			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of mast cell activation			ISO	Q15762 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell activation involved in immune response			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IDA		J:124243 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell degranulation			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		serotonin secretion by mast cell	happens in mast cell		IDA		J:124243 	
MGI:2685099	Cd300lb	CD300 molecule like family member B	11		positive regulation of mast cell activation	regulates a function/process that has the participant mast cell		IDA		J:163402 	
MGI:2442359	Cd300lf	CD300 molecule like family member F	11		negative regulation of mast cell activation			IMP		J:190979 	
MGI:2442359	Cd300lf	CD300 molecule like family member F	11		negative regulation of mast cell activation			ISO	Q8TDQ1 	J:164563 	
MGI:88388	Cftr	cystic fibrosis transmembrane conductance regulator	6		positive regulation of mast cell activation			ISO	RGD:2332 	J:155856 	
MGI:88394	Chga	chromogranin A	12		mast cell activation			ISO	P10645 	J:164563 	
MGI:88394	Chga	chromogranin A	12		mast cell degranulation			ISO	P10645 	J:164563 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		negative regulation of mast cell activation			ISO	RGD:2369 	J:155856 	
