MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:101919	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	8		positive regulation of natural killer cell degranulation			ISO	O43747 	J:164563 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		natural killer cell differentiation			IBA	PTN002814496 	J:265628 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		natural killer cell differentiation	results in the differentiation of natural killer cell		IGI	MGI:104294 MGI:96965 	J:112666 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		positive regulation of natural killer cell differentiation			ISO	P30530 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		natural killer cell activation			ISO	P46379 	J:164563 	
MGI:2678952	Bloc1s3	biogenesis of lysosomal organelles complex-1, subunit 3	7		positive regulation of natural killer cell activation			IMP	MGI:1857021 	J:6801 	
MGI:1927580	Bloc1s6	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin	2		positive regulation of natural killer cell activation			IMP	MGI:1856982 	J:6801 	
MGI:1860383	Cd160	CD160 antigen	3		positive regulation of natural killer cell degranulation			ISO	O95971 	J:164563 	
MGI:109294	Cd244a	CD244 molecule A	1		natural killer cell activation involved in immune response			IMP		J:131269 	
MGI:109294	Cd244a	CD244 molecule A	1		natural killer cell activation involved in immune response			ISO	Q9BZW8 	J:164563 	
MGI:109294	Cd244a	CD244 molecule A	1		positive regulation of natural killer cell proliferation			IMP		J:131269 	
MGI:1351468	Clnk	cytokine-dependent hematopoietic cell linker	5		negative regulation of natural killer cell activation			IMP		J:91590 	
MGI:1351468	Clnk	cytokine-dependent hematopoietic cell linker	5		negative regulation of natural killer cell activation	happens in natural killer cell		IMP		J:131738 	
MGI:1345961	Coro1a	coronin, actin binding protein 1A	7		natural killer cell degranulation			ISO	P31146 	J:164563 	
MGI:1928377	Elf4	E74-like factor 4 (ets domain transcription factor)	X		natural killer cell proliferation			IDA		J:79568 	
MGI:95527	Fgr	FGR proto-oncogene, Src family tyrosine kinase	4		negative regulation of natural killer cell activation	happens in natural killer cell		IMP		J:131738 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		positive regulation of natural killer cell differentiation	regulates the differentiation of natural killer cell		IMP	MGI:2158499 	J:119213 	
MGI:95660	Gas6	growth arrest specific 6	8		positive regulation of natural killer cell differentiation			ISO	Q14393 	J:164563 	
MGI:3701966	Gm13271	predicted gene 13271	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3701968	Gm13272	predicted gene 13272	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3701970	Gm13275	predicted gene 13275	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3701972	Gm13276	predicted gene 13276	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3701974	Gm13277	predicted gene 13277	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3649573	Gm13283	predicted gene 13283	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:5595882	Gm36723	predicted gene, 36723	12		natural killer cell differentiation			IMP		J:258967 	
MGI:5595882	Gm36723	predicted gene, 36723	12		natural killer cell proliferation			IMP		J:258967 	
MGI:95957	H2-T23	histocompatibility 2, T region locus 23	17		positive regulation of natural killer cell proliferation			ISO	P13747 	J:164563 	
MGI:1306817	H60a	histocompatibility 60a	10		positive regulation of natural killer cell activation			IDA		J:82077 	
MGI:1306817	H60a	histocompatibility 60a	10		positive regulation of natural killer cell activation			IPI	O54709 	J:131505 	
MGI:2159682	Havcr2	hepatitis A virus cellular receptor 2	11		negative regulation of natural killer cell activation			IMP		J:228102 	
MGI:2384768	Hectd1	HECT domain E3 ubiquitin protein ligase 1	12		natural killer cell differentiation	happens in decidua		IMP	MGI:2137552 	J:215001 	
MGI:98504	Hnf1a	HNF1 homeobox A	5		natural killer cell differentiation			ISO	P20823 	J:164563 	
MGI:2177763	Hps1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	19		positive regulation of natural killer cell activation			IMP	MGI:1856712 	J:6801 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		natural killer cell differentiation	happens in bone marrow,results in the differentiation of mature natural killer cell		IGI	MGI:98510 	J:125739 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		natural killer cell differentiation	happens in bone marrow,results in the differentiation of mature natural killer cell|happens in spleen,results in the differentiation of mature natural killer cell		IMP	MGI:2384134 	J:125739 	
MGI:107668	Ifna1	interferon alpha 1	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107668	Ifna1	interferon alpha 1	4		natural killer cell activation involved in immune response			IDA		J:143727 	
MGI:107666	Ifna2	interferon alpha 2	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		natural killer cell activation involved in immune response			IDA		J:143727 	
MGI:107663	Ifna5	interferon alpha 5	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107662	Ifna6	interferon alpha 6	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107661	Ifna7	interferon alpha 7	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		natural killer cell activation involved in immune response			IDA		J:143727 	
MGI:109210	Ifna11	interferon alpha 11	4		natural killer cell activation			IDA		J:222144 	
MGI:109210	Ifna11	interferon alpha 11	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:2676324	Ifna12	interferon alpha 12	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:2667155	Ifna13	interferon alpha 13	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3641425	Ifna14	interferon alpha 14	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3649418	Ifna15	interferon alpha 15	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:3649260	Ifna16	interferon alpha 16	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:1097683	Ifnab	interferon alpha B	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
MGI:2667156	Ifne	interferon epsilon	4		natural killer cell activation involved in immune response			IBA	PTN000914537 	J:265628 	
