MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		mature B cell differentiation involved in immune response			IMP		J:251374 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		transitional one stage B cell differentiation	happens in spleen		IMP	MGI:2153718 	J:147102 	
MGI:87916	Ada	adenosine deaminase	2		germinal center B cell differentiation	happens in spleen,results in the differentiation of germinal center B cell		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		B cell differentiation			IMP		J:143629 	
MGI:1859670	Adgrg3	adhesion G protein-coupled receptor G3	8		B cell differentiation			IMP		J:222670 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		B cell differentiation			TAS		J:175187 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	regulation of B cell differentiation			IMP		J:235782 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		pre-B cell allelic exclusion			IMP		J:149451 	
MGI:1859661	Atp11c	ATPase, class VI, type 11C	X		positive regulation of B cell differentiation			IMP		J:171924 	
MGI:1859661	Atp11c	ATPase, class VI, type 11C	X		pre-B cell differentiation			IMP		J:171924 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of B cell differentiation			IMP	MGI:3029528 	J:88139 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		B cell negative selection	has the participant B cell		IGI	MGI:99702 	J:100463 	
MGI:99702	Bax	BCL2-associated X protein	7		B cell negative selection	has the participant B cell		IGI	MGI:1097161 	J:100463 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell differentiation	happens in bone marrow		IMP	MGI:2156165 	J:38087 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell lineage commitment	happens in bone marrow,results in a cell's commitment to B cell		IMP	MGI:2156165 	J:31364 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		marginal zone B cell differentiation			IMP	MGI:1861796 	J:38092 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		B cell differentiation	results in the differentiation of B cell		IGI	MGI:88337 	J:87846 	
MGI:106190	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	11		B cell differentiation			IMP	MGI:2663941 	J:83646 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		B cell affinity maturation			IMP	MGI:1856317 	J:17954 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		B cell differentiation			IMP	MGI:3045950 	J:84036 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		regulation of B cell differentiation			IMP	MGI:3039682 	J:89322 	
MGI:88319	Cd19	CD19 antigen	7		B-1 B cell differentiation			IMP		J:27463 	
MGI:88323	Cd24a	CD24a antigen	10		pre-B cell differentiation	results in the differentiation of immature B cell		IMP	MGI:2179996 	J:27374 J:76695 	
MGI:88323	Cd24a	CD24a antigen	10		regulation of B cell differentiation	regulates the differentiation of B cell		IMP	MGI:2179996 	J:27374 	
MGI:88323	Cd24a	CD24a antigen	10		regulation of B cell differentiation	regulates the differentiation of immature B cell		IMP	MGI:2179996 	J:76695 	
MGI:88326	Cd27	CD27 antigen	6		positive regulation of B cell differentiation			IEA	IPR022328 IPR034000 	J:72247 	
MGI:88337	Cd40lg	CD40 ligand	X		B cell differentiation	results in the differentiation of B cell		IGI	MGI:96556 	J:87846 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell differentiation			IBA	PTN000371571 	J:265628 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell differentiation			IMP		J:71100 J:87492 	
MGI:96431	Cd79b	CD79B antigen	11		B cell differentiation			IBA	PTN000371571 	J:265628 	
MGI:1095414	Cdh17	cadherin 17	4		B cell differentiation	happens in bone marrow,happens in spleen,happens in peritoneal cavity,happens in precursor B cell,happens near plasma membrane		IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4		germinal center B cell differentiation			IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4		marginal zone B cell differentiation			IMP		J:96738 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		B cell differentiation			IDA		J:57927 	
MGI:2447166	Cmtm7	CKLF-like MARVEL transmembrane domain containing 7	9		B-1a B cell differentiation			IMP		J:207033 	
MGI:88489	Cr2	complement receptor 2	1		B cell differentiation			ISO	P20023 	J:164563 	
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	8		regulation of B cell differentiation			IMP	MGI:3664438 	J:112392 	
MGI:2445220	Dcaf1	DDB1 and CUL4 associated factor 1	9		B cell differentiation			IMP		J:181758 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2667614 	J:80995 	
MGI:104659	Dll1	delta like canonical Notch ligand 1	17		marginal zone B cell differentiation			IMP		J:90630 J:146621 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		B cell differentiation			IMP		J:222515 	
MGI:2146320	Dock10	dedicator of cytokinesis 10	1		marginal zone B cell differentiation			IMP		J:238172 	
MGI:1923224	Dock11	dedicator of cytokinesis 11	X		marginal zone B cell differentiation			IMP		J:238172 	
MGI:1276116	Ep300	E1A binding protein p300	15		B cell differentiation			IMP	MGI:3813243 	J:140200 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		B cell differentiation			IBA	PTN002814388 	J:265628 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		B cell differentiation			IMP		J:170520 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		negative regulation of B cell differentiation			IDA		J:108330 	
MGI:2444668	Fnip1	folliculin interacting protein 1	11		immature B cell differentiation	happens in spleen|happens in bone marrow		IMP	MGI:5437714 	J:187318 	
MGI:1914004	Foxp1	forkhead box P1	6		pre-B cell differentiation			IMP	MGI:3711150 	J:112644 	
MGI:1313278	Fzd9	frizzled class receptor 9	5		B cell differentiation	happens in bone marrow		IMP	MGI:3526665 	J:98133 	
MGI:109368	Gimap1	GTPase, IMAP family member 1	6		B cell differentiation	happens in lymph node,results in the differentiation of B cell|happens in spleen,results in the differentiation of B cell		IMP	MGI:2449947 MGI:4459837 	J:160782 	
MGI:3701966	Gm13271	predicted gene 13271	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701968	Gm13272	predicted gene 13272	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701970	Gm13275	predicted gene 13275	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701972	Gm13276	predicted gene 13276	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701974	Gm13277	predicted gene 13277	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649573	Gm13283	predicted gene 13283	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:1917579	Gon4l	gon-4-like (C.elegans)	3		B cell differentiation			IMP	MGI:4829629 	J:163412 	
MGI:2442034	Gpr183	G protein-coupled receptor 183	14		mature B cell differentiation involved in immune response			IMP		J:151077 	
MGI:1891751	Gps2	G protein pathway suppressor 2	11		B cell differentiation			IMP		J:240887 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		B cell affinity maturation			IDA		J:169911 	
MGI:1333784	Hdac5	histone deacetylase 5	11		B cell differentiation			TAS		J:113927 	
MGI:1891835	Hdac7	histone deacetylase 7	15		B cell differentiation			TAS		J:113927 	
MGI:1931221	Hdac9	histone deacetylase 9	12		B cell differentiation			TAS		J:113927 	
MGI:2671382	hem1	haematopoietic 1	11		B cell differentiation			IMP	MGI:3818728 	J:141377 	
MGI:96086	Hhex	hematopoietically expressed homeobox	19		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2449914 	J:81415 	
MGI:1098219	Hmgb3	high mobility group box 3	X		negative regulation of B cell differentiation			IDA		J:84890 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		negative regulation of B cell differentiation	happens in bone marrow,regulates the differentiation of B cell|happens in spleen,regulates the differentiation of B cell|happens in thymus,regulates the differentiation of B cell		IMP	MGI:2384134 	J:138413 	
MGI:107668	Ifna1	interferon alpha 1	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107666	Ifna2	interferon alpha 2	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107663	Ifna5	interferon alpha 5	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107662	Ifna6	interferon alpha 6	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107661	Ifna7	interferon alpha 7	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:109210	Ifna11	interferon alpha 11	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2676324	Ifna12	interferon alpha 12	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2667155	Ifna13	interferon alpha 13	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3641425	Ifna14	interferon alpha 14	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649418	Ifna15	interferon alpha 15	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649260	Ifna16	interferon alpha 16	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:1097683	Ifnab	interferon alpha B	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2667156	Ifne	interferon epsilon	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2683287	Ifnk	interferon kappa	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2448469	Ifnz	interferon zeta	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2448469	Ifnz	interferon zeta	4		B cell differentiation			IDA		J:81257 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		B cell affinity maturation			IMP	MGI:2447178 	J:49405 	
MGI:96495	Igkc	immunoglobulin kappa constant	6		B cell differentiation			IMP	MGI:3624131 	J:108003 	
MGI:1342540	Ikzf1	IKAROS family zinc finger 1	11		B cell differentiation			IMP		J:190693 	
MGI:1342540	Ikzf1	IKAROS family zinc finger 1	11		B cell differentiation			IMP	MGI:2158738 	J:20671 	
MGI:1342542	Ikzf3	IKAROS family zinc finger 3	11		regulation of B cell differentiation			IMP		J:50626 	
MGI:96551	Il2rg	interleukin 2 receptor, gamma chain	X		positive regulation of B cell differentiation	happens in spleen,regulates the differentiation of B cell		IMP	MGI:2429736 	J:42537 	
MGI:96561	Il7	interleukin 7	3		positive regulation of B cell differentiation			IDA		J:111910 	
