MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		natural killer cell differentiation			IBA	PTN002814496 	J:265628 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		natural killer cell differentiation	results in the differentiation of natural killer cell		IGI	MGI:104294 MGI:96965 	J:112666 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		positive regulation of natural killer cell differentiation			ISO	P30530 	J:164563 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		positive regulation of natural killer cell differentiation	regulates the differentiation of natural killer cell		IMP	MGI:2158499 	J:119213 	
MGI:95660	Gas6	growth arrest specific 6	8		positive regulation of natural killer cell differentiation			ISO	Q14393 	J:164563 	
MGI:5595882	Gm36723	predicted gene, 36723	12		natural killer cell differentiation			IMP		J:258967 	
MGI:2384768	Hectd1	HECT domain E3 ubiquitin protein ligase 1	12		natural killer cell differentiation	happens in decidua		IMP	MGI:2137552 	J:215001 	
MGI:98504	Hnf1a	HNF1 homeobox A	5		natural killer cell differentiation			ISO	P20823 	J:164563 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		natural killer cell differentiation	happens in bone marrow,results in the differentiation of mature natural killer cell		IGI	MGI:98510 	J:125739 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		natural killer cell differentiation	happens in bone marrow,results in the differentiation of mature natural killer cell|happens in spleen,results in the differentiation of mature natural killer cell		IMP	MGI:2384134 	J:125739 	
MGI:1342540	Ikzf1	IKAROS family zinc finger 1	11		natural killer cell differentiation			IMP	MGI:2158738 	J:20671 	
MGI:107426	Il11ra1	interleukin 11 receptor, alpha chain 1	4		natural killer cell differentiation	happens in uterus,results in the differentiation of natural killer cell		IMP	MGI:2177774 	J:93811 	
MGI:103014	Il15	interleukin 15	8		positive regulation of natural killer cell differentiation	regulates the differentiation of natural killer cell		IDA		J:119213 	
MGI:103014	Il15	interleukin 15	8		positive regulation of natural killer cell differentiation			IGI	MGI:1931086 	J:119985 	
MGI:103014	Il15	interleukin 15	8		positive regulation of natural killer cell differentiation	regulates the differentiation of natural killer cell		IMP	MGI:2136897 	J:119213 	
MGI:104644	Il15ra	interleukin 15 receptor, alpha chain	2		positive regulation of natural killer cell differentiation	regulates the differentiation of natural killer cell		IMP	MGI:1934016 	J:119213 	
MGI:1890474	Il21	interleukin 21	3		positive regulation of natural killer cell differentiation	happens in bone marrow,regulates the differentiation of natural killer cell		IDA		J:88003 	
MGI:96590	Irf1	interferon regulatory factor 1	11		positive regulation of natural killer cell differentiation			TAS		J:183979 	
MGI:109496	Lgals9	lectin, galactose binding, soluble 9	11		regulation of natural killer cell differentiation	happens in spleen,happens in liver		IMP		J:197208 	
MGI:96965	Mertk	MER proto-oncogene tyrosine kinase	2		natural killer cell differentiation	results in the differentiation of natural killer cell		IGI	MGI:104294 MGI:1347244 	J:112666 	
MGI:1345092	Pglyrp1	peptidoglycan recognition protein 1	7		negative regulation of natural killer cell differentiation involved in immune response			IMP	MGI:2670590 	J:178053 	
