MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2443685	5830411N06Rik	RIKEN cDNA 5830411N06 gene	7		gamma-delta T cell lineage commitment	happens in thymus		IDA		J:137854 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		alpha-beta T cell differentiation	results in the differentiation of DN4 thymocyte		IGI	MGI:87860 	J:154821 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of T cell differentiation			IMP		J:175086 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		alpha-beta T cell differentiation	results in the differentiation of DN4 thymocyte		IGI	MGI:87859 	J:154821 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of alpha-beta T cell differentiation	regulates the differentiation of thymocyte		IMP		J:107216 J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of alpha-beta T cell differentiation	regulates the differentiation of thymocyte		IMP	MGI:1857117 	J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation	happens in liver,regulates the differentiation of T cell		IMP	MGI:1857117 	J:25085 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation	happens in thymus,regulates the differentiation of T cell		IMP	MGI:1857117 MGI:2683027 	J:73418 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP		J:107216 J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP	MGI:1857117 	J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP	MGI:1857117 MGI:2683027 	J:110739 	
MGI:87916	Ada	adenosine deaminase	2		regulation of T cell differentiation	happens in thymus,regulates the differentiation of T cell		IMP	MGI:2155977 	J:26731 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of T cell differentiation in thymus			IDA		J:165123 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		T cell differentiation in thymus			IMP		J:143629 	
MGI:1929289	Adrm1	adhesion regulating molecule 1	2		regulation of T cell differentiation in thymus			IMP		J:166694 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		negative thymic T cell selection			IBA	PTN002931439 	J:265628 	
