Symbol	gene_class
5830411N06RIK	act_t_cell|diff_t_cell
6030468B19RIK	diff_b_cell|act_b_cell
ABL1	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ABL2	act_t_cell|diff_t_cell
ABR	act_neutro_cell
ADA	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ADAM10	act_mono_cell
ADAM17	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ADAM8	act_t_cell|diff_t_cell
ADAM9	act_mono_cell
ADGRF5	act_macrophage_cell
ADGRG3	diff_b_cell|act_b_cell
ADK	act_t_cell
ADORA2A	act_t_cell
ADORA2B	act_mast_cell
ADORA3	act_mast_cell
ADRM1	act_t_cell|diff_t_cell
AGER	act_macrophage_cell|act_t_cell
AHR	diff_b_cell|act_b_cell
AICDA	act_b_cell
AIF1	act_macrophage_cell|act_t_cell
AIRE	act_t_cell|diff_t_cell
ANKLE1	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ANXA1	act_t_cell|diff_t_cell
ANXA3	act_neutro_cell
AP1G1	act_naturalkiller_cell
AP3B1	act_t_cell|diff_t_cell
AP3D1	act_t_cell|diff_t_cell
APBB1IP	act_t_cell
APC	act_t_cell|diff_t_cell
APLF	act_b_cell
APP	act_macrophage_cell
ARG1	act_t_cell|neutro
ARG2	act_t_cell
ATAD5	act_b_cell
ATG5	act_t_cell|diff_t_cell|thyroid|tcell
ATM	act_macrophage_cell|diff_b_cell|act_b_cell
ATP11C	diff_b_cell|act_b_cell
ATP7A	act_t_cell|diff_t_cell
AXL	diff_naturalkiller_cell|act_naturalkiller_cell
AZI2	act_t_cell
B2M	act_t_cell|diff_t_cell
BAD	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
BAG6	act_naturalkiller_cell
BAK1	diff_b_cell|act_b_cell
BANK1	act_b_cell
BATF	act_t_cell|act_b_cell|diff_t_cell
BAX	diff_b_cell|act_t_cell|act_b_cell
BCL10	act_t_cell|act_mast_cell
BCL11A	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
BCL11B	act_t_cell|diff_t_cell
BCL2	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
BCL2A1D	act_t_cell|diff_t_cell
BCL3	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
BCL6	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
BCR	act_neutro_cell
BLM	act_t_cell|diff_t_cell
BLNK	act_b_cell
BLOC1S3	act_naturalkiller_cell
BLOC1S6	act_naturalkiller_cell
BMI1	act_t_cell|act_b_cell|diff_t_cell
BMP4	act_t_cell|diff_t_cell
BPI	act_macrophage_cell
BRAF	act_t_cell|diff_t_cell
BST1	act_b_cell
BTK	diff_b_cell|act_mast_cell|act_b_cell
BTLA	act_t_cell|act_b_cell
BTN1A1	act_t_cell
BTN2A2	act_t_cell|diff_t_cell
BTNL1	act_t_cell|diff_t_cell
BTNL2	act_t_cell
BTNL6	act_t_cell|diff_t_cell
C1QA	act_macrophage_cell
C5AR1	act_macrophage_cell
CACNB4	act_t_cell|diff_t_cell
CARD11	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
CARMIL2	act_t_cell|diff_t_cell
CASP1	act_macrophage_cell
CASP3	act_t_cell|act_b_cell
CAV1	act_t_cell
CBFB	act_t_cell|diff_t_cell
CBLB	act_t_cell
CCDC88B	act_t_cell
CCL19	act_t_cell|diff_t_cell
CCL2	act_t_cell
CCL20	act_t_cell|diff_t_cell
CCL5	act_t_cell|act_neutro_cell
CCND3	act_t_cell
CCR2	act_t_cell|diff_t_cell
CCR3	thyroid|tcell
CCR5	thyroid|tcell
CCR6	act_t_cell|act_b_cell|diff_t_cell|thyroid|tcell
CCR7	act_t_cell|diff_t_cell|thyroid|tcell
CCR9	act_t_cell|diff_t_cell
CD151	act_t_cell
CD160	act_t_cell|act_naturalkiller_cell
CD177	act_neutro_cell
CD180	act_b_cell
CD19	diff_b_cell|act_b_cell
CD1D1	act_macrophage_cell|act_t_cell|diff_t_cell
CD1D2	act_t_cell
CD2	act_t_cell
CD200	act_macrophage_cell
CD209A	act_t_cell
CD209E	act_t_cell
CD22	act_b_cell
CD226	act_mast_cell
