param,importances,coeff
aantal Aes,1.0,-1.0
PRA High Recipient,0.5471537892869895,0.9901448102454234
Leefpat,0.43725983675870483,-0.15408871163503213
Second Warm Ischemia Period in minutes,0.4228407633152835,0.10117707054632816
Cold Ischemia Time Minutes,0.41333050672554633,0.0254319142936268
Cold Ischemia Time Hours,0.36918034287011486,0.1150817768739005
Age Donor,0.3551558158618033,0.06315823762208678
mm-B,0.22766529626984397,0.23913455089341018
mmtotaal,0.15802340437061613,0.2475001849972194
mm-DR,0.11652490408085317,0.3161107781285209
infwithAB,0.06841395378564753,-0.09324167137884366
mm-A,0.055351388043422385,0.019459892012481786
Total transplants,0.009364073656390455,-0.014269447661024106
