param,importances,coeff
aantal Aes,1.0,-0.931924533833853
PRA High Recipient,0.7112613295141343,1.0
Cold Ischemia Time Minutes,0.5829034956747623,0.02479180477642038
Leefpat,0.5759375789644144,-0.14751874038570997
Second Warm Ischemia Period in minutes,0.5672868843709203,0.07151890797266396
Age Donor,0.4851518816394879,0.03182295820016786
Cold Ischemia Time Hours,0.3768519710271396,0.011930925183350856
mm-B,0.2705435922642144,0.2700535599444462
mmtotaal,0.2225432892250963,0.3319020560727797
mm-DR,0.15050779453346616,0.2709607649540745
mm-A,0.09536647119437981,0.0699788957305173
infwithAB,0.0641621628788232,-0.08666936823315693
Total transplants,0.013824081781771455,0.02456211123425616
