,LR,SVM,MEAN
214612_x_at,1.0,1.0,1.0
210467_x_at,0.969593303801297,0.9767935760343109,0.9731934399178039
214603_at,0.96224785194703,0.930711039639976,0.9464794457935031
1558834_s_at,0.9621459945869052,0.9005927341207981,0.9313693643538516
244678_at,0.8920683503152627,0.8751701992713979,0.8836192747933302
239860_at,0.8281637399070132,0.8537254035208001,0.8409445717139066
201005_at,0.81883119008789,0.8203557123880346,0.8195934512379623
1556065_at,0.8160107815006462,0.8028708830927223,0.8094408322966842
1553415_at,0.8060270627846735,0.7914496200462688,0.7987383414154712
1553574_at,0.7928806561358239,0.8018933729095129,0.7973870145226685
206065_s_at,0.7580052754239456,0.7594197131672481,0.7587124942955968
1554097_a_at,0.7468865871775543,0.7597975372229206,0.7533420622002375
1553830_s_at,0.7554022296418732,0.7388329734089099,0.7471176015253915
205910_s_at,0.7386754859840875,0.7149364782985594,0.7268059821413235
225791_at,0.7035946036008662,0.6953842667048898,0.699489435152878
218692_at,0.6904640304616154,0.7045166851390888,0.6974903578003522
1567023_at,0.708541868649695,0.6807872087127224,0.6946645386812087
220445_s_at,0.7043534833478241,0.6842014777573621,0.6942774805525931
209101_at,0.7033400113182777,0.6678950946836355,0.6856175530009566
209930_s_at,0.7115950067398148,0.6584300135960043,0.6850125101679095
202800_at,0.7163067522142649,0.6491526771095152,0.68272971466189
213367_at,0.6997853174455214,0.6568962166201444,0.678340767032833
232247_at,0.6866749490495633,0.6648978275967761,0.6757863883231696
221870_at,0.7106439854840023,0.640783817372595,0.6757139014282987
211807_x_at,0.6604936543310526,0.6820737280181801,0.6712836911746163
234886_at,0.6832329607021133,0.659080155129372,0.6711565579157426
233173_x_at,0.6785694843766836,0.6510678476852486,0.6648186660309661
209942_x_at,0.6702337361172311,0.6504250880237158,0.6603294120704735
45297_at,0.6893442108198469,0.6240045356772823,0.6566743732485646
205608_s_at,0.6603342197308999,0.6341179773416902,0.647226098536295
209661_at,0.6642650171244668,0.6187150922120854,0.6414900546682761
216086_at,0.6789432423188821,0.6034706760158073,0.6412069591673447
223748_at,0.650800858848744,0.628988762367333,0.6398948106080384
228667_at,0.6835123548927221,0.5919567449977174,0.6377345499452198
227296_at,0.6494747373488009,0.6140508687362989,0.63176280304255
222772_at,0.6228218538967739,0.6284463220252922,0.625634087961033
206907_at,0.620932388213786,0.6167267374137824,0.6188295628137842
1554010_at,0.6012691864885498,0.6329292175849615,0.6170992020367556
209626_s_at,0.6367433395495702,0.597177493052455,0.6169604163010126
1569054_at,0.6378829159678439,0.5957014997142982,0.616792207841071
203457_at,0.6112020156739078,0.620633274136044,0.6159176449049759
232676_x_at,0.6175455525716266,0.6114535353365231,0.6144995439540748
1558809_s_at,0.6112615420175048,0.6174372737876663,0.6143494079025855
226063_at,0.6415375093886675,0.5850325747197008,0.6132850420541842
1555731_a_at,0.5898028866119138,0.6363548836642414,0.6130788851380776
212488_at,0.6368691118006917,0.5889899366464284,0.6129295242235601
201015_s_at,0.630983849248282,0.5900582082782572,0.6105210287632696
1553970_s_at,0.6173700300796731,0.6011864525180023,0.6092782412988377
237086_at,0.5933493115497619,0.6223854786554331,0.6078673951025975
237269_at,0.6041112958911841,0.6105908572838363,0.6073510765875102
1554795_a_at,0.6350105861884358,0.5728172247597761,0.603913905474106
229459_at,0.5891107682379882,0.6110711761439551,0.6000909721909717
229464_at,0.590664620023836,0.6094967457583755,0.6000806828911058
241723_at,0.6313154493224938,0.5650932358928525,0.5982043426076732
227481_at,0.5956757476144233,0.5999951818294905,0.5978354647219569
203325_s_at,0.6248043920081323,0.5702255316179123,0.5975149618130223
235285_at,0.6116322274441475,0.5827768968991399,0.5972045621716437
227818_at,0.6031249450794556,0.5769307004300274,0.5900278227547415
1556224_a_at,0.604395302276635,0.5671586051146673,0.5857769536956512
206726_at,0.6024970760380295,0.567767249481894,0.5851321627599617
205932_s_at,0.6006330885912384,0.5644772131136447,0.5825551508524416
