,9_SVM,9_LR,MEAN,MEDIAN
212262_at,-0.9255736535132247,-0.884945837975967,-0.9052597457445959,-0.9052597457445959
212262_at,-0.9255736535132247,-0.884945837975967,-0.9052597457445959,-0.9052597457445959
1568713_a_at,-0.7552080839517668,-0.7386047788222561,-0.7469064313870114,-0.7469064313870114
1568713_a_at,-0.7552080839517668,-0.7386047788222561,-0.7469064313870114,-0.7469064313870114
208715_at,-0.7298131045916978,-0.721956196244351,-0.7258846504180244,-0.7258846504180244
208715_at,-0.7298131045916978,-0.721956196244351,-0.7258846504180244,-0.7258846504180244
223017_at,-0.6828799582747761,-0.6738231770520243,-0.6783515676634002,-0.6783515676634002
223017_at,-0.6828799582747761,-0.6738231770520243,-0.6783515676634002,-0.6783515676634002
1569566_at,-0.6471337470567755,-0.6435628946634814,-0.6453483208601285,-0.6453483208601285
1569566_at,-0.6471337470567755,-0.6435628946634814,-0.6453483208601285,-0.6453483208601285
1552726_at,-0.5570778573253329,-0.576927365175605,-0.5670026112504689,-0.5670026112504689
1552726_at,-0.5570778573253329,-0.576927365175605,-0.5670026112504689,-0.5670026112504689
202702_at,-0.5512646525667001,-0.5688340430177607,-0.5600493477922304,-0.5600493477922304
202702_at,-0.5512646525667001,-0.5688340430177607,-0.5600493477922304,-0.5600493477922304
207688_s_at,-0.5573014982774323,-0.5391821404360845,-0.5482418193567584,-0.5482418193567584
207688_s_at,-0.5573014982774323,-0.5391821404360845,-0.5482418193567584,-0.5482418193567584
206923_at,-0.5384317967438617,-0.5498041819165697,-0.5441179893302157,-0.5441179893302157
206923_at,-0.5384317967438617,-0.5498041819165697,-0.5441179893302157,-0.5441179893302157
226627_at,-0.44557438517282055,-0.4856880640750036,-0.46563122462391204,-0.46563122462391204
226627_at,-0.44557438517282055,-0.4856880640750036,-0.46563122462391204,-0.46563122462391204
216862_s_at,-0.4574124466323574,-0.4301899822979491,-0.44380121446515325,-0.44380121446515325
216862_s_at,-0.4574124466323574,-0.4301899822979491,-0.44380121446515325,-0.44380121446515325
202794_at,-0.3973651409788943,-0.4454681805871242,-0.4214166607830092,-0.4214166607830092
202794_at,-0.3973651409788943,-0.4454681805871242,-0.4214166607830092,-0.4214166607830092
218862_at,-0.3922119296293067,-0.44560018319528183,-0.4189060564122943,-0.4189060564122943
218862_at,-0.3922119296293067,-0.44560018319528183,-0.4189060564122943,-0.4189060564122943
217865_at,-0.44862666301864035,-0.38045778329101265,-0.4145422231548265,-0.4145422231548265
217865_at,-0.44862666301864035,-0.38045778329101265,-0.4145422231548265,-0.4145422231548265
206589_at,-0.41440524563949943,-0.4121224016167762,-0.41326382362813785,-0.41326382362813785
206589_at,-0.41440524563949943,-0.4121224016167762,-0.41326382362813785,-0.41326382362813785
1554689_a_at,-0.40880961342417477,-0.41464015478466065,-0.4117248841044177,-0.4117248841044177
1554689_a_at,-0.40880961342417477,-0.41464015478466065,-0.4117248841044177,-0.4117248841044177
206135_at,-0.4672796467765276,-0.33947890650517437,-0.403379276640851,-0.403379276640851
206135_at,-0.4672796467765276,-0.33947890650517437,-0.403379276640851,-0.403379276640851
208836_at,-0.3825966410418787,-0.41879088061274283,-0.4006937608273108,-0.4006937608273108
208836_at,-0.3825966410418787,-0.41879088061274283,-0.4006937608273108,-0.4006937608273108
230689_at,-0.3886764689673013,-0.40412527909972573,-0.39640087403351354,-0.39640087403351354
230689_at,-0.3886764689673013,-0.40412527909972573,-0.39640087403351354,-0.39640087403351354
