,59_SVM,59_LR,MEAN,MEDIAN
221933_at,-2.1518846786443038,-1.1725614973711076,-1.6622230880077056,-1.6622230880077056
221933_at,-2.1518846786443038,-1.1725614973711076,-1.6622230880077056,-1.6622230880077056
225109_at,-2.1031506321738327,-0.6511072171908924,-1.3771289246823626,-1.3771289246823626
225109_at,-2.1031506321738327,-0.6511072171908924,-1.3771289246823626,-1.3771289246823626
229450_at,-1.8183848323140168,-0.7833932426661947,-1.3008890374901059,-1.3008890374901059
229450_at,-1.8183848323140168,-0.7833932426661947,-1.3008890374901059,-1.3008890374901059
1556504_at,-1.9634516567203248,-0.6253285972543532,-1.294390126987339,-1.294390126987339
1556504_at,-1.9634516567203248,-0.6253285972543532,-1.294390126987339,-1.294390126987339
207375_s_at,-1.767743781882071,-0.7996427031719806,-1.2836932425270258,-1.2836932425270258
207375_s_at,-1.767743781882071,-0.7996427031719806,-1.2836932425270258,-1.2836932425270258
1569566_at,-1.5093694563713482,-0.8953634984558904,-1.2023664774136194,-1.2023664774136194
1569566_at,-1.5093694563713482,-0.8953634984558904,-1.2023664774136194,-1.2023664774136194
212230_at,-1.4802399351795412,-0.9034050724794862,-1.1918225038295138,-1.1918225038295138
212230_at,-1.4802399351795412,-0.9034050724794862,-1.1918225038295138,-1.1918225038295138
217511_at,-1.7761461046458957,-0.5987075318759004,-1.187426818260898,-1.187426818260898
217511_at,-1.7761461046458957,-0.5987075318759004,-1.187426818260898,-1.187426818260898
215791_at,-1.8299526258821657,-0.5272156585592175,-1.1785841422206915,-1.1785841422206915
215791_at,-1.8299526258821657,-0.5272156585592175,-1.1785841422206915,-1.1785841422206915
226223_at,-1.7803445052063092,-0.5756023370132195,-1.1779734211097643,-1.1779734211097643
226223_at,-1.7803445052063092,-0.5756023370132195,-1.1779734211097643,-1.1779734211097643
204004_at,-1.6662354138373348,-0.6816323138077695,-1.173933863822552,-1.173933863822552
204004_at,-1.6662354138373348,-0.6816323138077695,-1.173933863822552,-1.173933863822552
219863_at,-1.8333435361721435,-0.5037935975302394,-1.1685685668511914,-1.1685685668511914
219863_at,-1.8333435361721435,-0.5037935975302394,-1.1685685668511914,-1.1685685668511914
242109_at,-1.8706694487960709,-0.4564423410998034,-1.1635558949479372,-1.1635558949479372
242109_at,-1.8706694487960709,-0.4564423410998034,-1.1635558949479372,-1.1635558949479372
204005_s_at,-1.5531497220222923,-0.700561451947873,-1.1268555869850827,-1.1268555869850827
204005_s_at,-1.5531497220222923,-0.700561451947873,-1.1268555869850827,-1.1268555869850827
216899_s_at,-1.6989611792996726,-0.5500443474669411,-1.124502763383307,-1.124502763383307
216899_s_at,-1.6989611792996726,-0.5500443474669411,-1.124502763383307,-1.124502763383307
211478_s_at,-1.4456411219221204,-0.7771003737699806,-1.1113707478460504,-1.1113707478460504
211478_s_at,-1.4456411219221204,-0.7771003737699806,-1.1113707478460504,-1.1113707478460504
229228_at,-1.515419515339521,-0.6768669205586946,-1.0961432179491077,-1.0961432179491077
229228_at,-1.515419515339521,-0.6768669205586946,-1.0961432179491077,-1.0961432179491077
231890_at,-1.7007015046007814,-0.46362610121168274,-1.0821638029062322,-1.0821638029062322
231890_at,-1.7007015046007814,-0.46362610121168274,-1.0821638029062322,-1.0821638029062322
241247_at,-1.516419956551682,-0.575699962339106,-1.046059959445394,-1.046059959445394
241247_at,-1.516419956551682,-0.575699962339106,-1.046059959445394,-1.046059959445394
223017_at,-1.5072421910543938,-0.5499792382845692,-1.0286107146694814,-1.0286107146694814
223017_at,-1.5072421910543938,-0.5499792382845692,-1.0286107146694814,-1.0286107146694814
206023_at,-1.489883967157743,-0.5572854832753249,-1.023584725216534,-1.023584725216534
206023_at,-1.489883967157743,-0.5572854832753249,-1.023584725216534,-1.023584725216534
237442_at,-1.5250128313703626,-0.5175680501918324,-1.0212904407810974,-1.0212904407810974
237442_at,-1.5250128313703626,-0.5175680501918324,-1.0212904407810974,-1.0212904407810974
217551_at,-1.4614976188158983,-0.580768291126509,-1.0211329549712036,-1.0211329549712036
217551_at,-1.4614976188158983,-0.580768291126509,-1.0211329549712036,-1.0211329549712036
213093_at,-1.1984419225561103,-0.8319656132442709,-1.0152037679001906,-1.0152037679001906
213093_at,-1.1984419225561103,-0.8319656132442709,-1.0152037679001906,-1.0152037679001906
228450_at,-1.4934768495057191,-0.5361888019474661,-1.0148328257265926,-1.0148328257265926
228450_at,-1.4934768495057191,-0.5361888019474661,-1.0148328257265926,-1.0148328257265926
229380_at,-1.1824590290300354,-0.8294540656045244,-1.0059565473172798,-1.0059565473172798
229380_at,-1.1824590290300354,-0.8294540656045244,-1.0059565473172798,-1.0059565473172798
1554062_at,-1.3464320117630568,-0.65037092430079,-0.9984014680319234,-0.9984014680319234
1554062_at,-1.3464320117630568,-0.65037092430079,-0.9984014680319234,-0.9984014680319234
1554689_a_at,-1.2103561405646128,-0.7654877111199317,-0.9879219258422722,-0.9879219258422722
1554689_a_at,-1.2103561405646128,-0.7654877111199317,-0.9879219258422722,-0.9879219258422722
215564_at,-1.63366006006627,-0.34105148601596197,-0.987355773041116,-0.987355773041116
215564_at,-1.63366006006627,-0.34105148601596197,-0.987355773041116,-0.987355773041116
1555464_at,-1.2938919770936759,-0.6643435395454614,-0.9791177583195687,-0.9791177583195687
1555464_at,-1.2938919770936759,-0.6643435395454614,-0.9791177583195687,-0.9791177583195687
1554397_s_at,-1.4821974056003473,-0.47521956524753795,-0.9787084854239426,-0.9787084854239426
1554397_s_at,-1.4821974056003473,-0.47521956524753795,-0.9787084854239426,-0.9787084854239426
217400_at,-1.250325011375277,-0.7040317022138185,-0.9771783567945478,-0.9771783567945478
217400_at,-1.250325011375277,-0.7040317022138185,-0.9771783567945478,-0.9771783567945478
229485_x_at,-1.4953461244766582,-0.45734435653851835,-0.9763452405075883,-0.9763452405075883
229485_x_at,-1.4953461244766582,-0.45734435653851835,-0.9763452405075883,-0.9763452405075883
205891_at,-1.389907647933293,-0.5551812264777511,-0.9725444372055221,-0.9725444372055221
205891_at,-1.389907647933293,-0.5551812264777511,-0.9725444372055221,-0.9725444372055221
1563420_at,-1.3409643823296145,-0.6038630316176411,-0.9724137069736278,-0.9724137069736278
1563420_at,-1.3409643823296145,-0.6038630316176411,-0.9724137069736278,-0.9724137069736278
234432_at,-1.681844003294545,-0.24691368698230326,-0.9643788451384241,-0.9643788451384241
234432_at,-1.681844003294545,-0.24691368698230326,-0.9643788451384241,-0.9643788451384241
239458_at,-1.3513417529965894,-0.5541121634851837,-0.9527269582408866,-0.9527269582408866
239458_at,-1.3513417529965894,-0.5541121634851837,-0.9527269582408866,-0.9527269582408866
210164_at,-1.3026764892534795,-0.5767918278525392,-0.9397341585530093,-0.9397341585530093
210164_at,-1.3026764892534795,-0.5767918278525392,-0.9397341585530093,-0.9397341585530093
227807_at,-1.3476767719464022,-0.5272765351986661,-0.9374766535725342,-0.9374766535725342
227807_at,-1.3476767719464022,-0.5272765351986661,-0.9374766535725342,-0.9374766535725342
233778_at,-1.3476213291333388,-0.5183632460853095,-0.9329922876093242,-0.9329922876093242
233778_at,-1.3476213291333388,-0.5183632460853095,-0.9329922876093242,-0.9329922876093242
1561403_at,-1.4124706145018737,-0.4511601471084769,-0.9318153808051753,-0.9318153808051753
1561403_at,-1.4124706145018737,-0.4511601471084769,-0.9318153808051753,-0.9318153808051753
208715_at,-1.4762732937115823,-0.377493966795618,-0.9268836302536001,-0.9268836302536001
208715_at,-1.4762732937115823,-0.377493966795618,-0.9268836302536001,-0.9268836302536001
228266_s_at,-1.341115393437594,-0.5122576516203714,-0.9266865225289826,-0.9266865225289826
228266_s_at,-1.341115393437594,-0.5122576516203714,-0.9266865225289826,-0.9266865225289826
202086_at,-1.5023088752839762,-0.3491461819787828,-0.9257275286313795,-0.9257275286313795
202086_at,-1.5023088752839762,-0.3491461819787828,-0.9257275286313795,-0.9257275286313795
1552726_at,-1.1543565544690046,-0.6945422659584405,-0.9244494102137226,-0.9244494102137226
1552726_at,-1.1543565544690046,-0.6945422659584405,-0.9244494102137226,-0.9244494102137226
205660_at,-1.3314666826874288,-0.5145654093493731,-0.9230160460184009,-0.9230160460184009
205660_at,-1.3314666826874288,-0.5145654093493731,-0.9230160460184009,-0.9230160460184009
1556235_at,-1.3497374785281564,-0.4882594739677786,-0.9189984762479675,-0.9189984762479675
1556235_at,-1.3497374785281564,-0.4882594739677786,-0.9189984762479675,-0.9189984762479675
121_at,-1.2959413357640819,-0.5405365856246601,-0.918238960694371,-0.918238960694371
121_at,-1.2959413357640819,-0.5405365856246601,-0.918238960694371,-0.918238960694371
1557466_at,-1.400480958190335,-0.43118308072675937,-0.9158320194585472,-0.9158320194585472
1557466_at,-1.400480958190335,-0.43118308072675937,-0.9158320194585472,-0.9158320194585472
242471_at,-1.4104045837062276,-0.40269431168333647,-0.906549447694782,-0.906549447694782
242471_at,-1.4104045837062276,-0.40269431168333647,-0.906549447694782,-0.906549447694782
1555912_at,-1.322587334772937,-0.4811515731741305,-0.9018694539735338,-0.9018694539735338
1555912_at,-1.322587334772937,-0.4811515731741305,-0.9018694539735338,-0.9018694539735338
243515_at,-1.3821942737637278,-0.3941410873525726,-0.8881676805581502,-0.8881676805581502
243515_at,-1.3821942737637278,-0.3941410873525726,-0.8881676805581502,-0.8881676805581502
1561421_a_at,-1.340847483726447,-0.42971706008001537,-0.8852822719032312,-0.8852822719032312
1561421_a_at,-1.340847483726447,-0.42971706008001537,-0.8852822719032312,-0.8852822719032312
1405_i_at,-1.3140904675091551,-0.455170174765241,-0.8846303211371981,-0.8846303211371981
1405_i_at,-1.3140904675091551,-0.455170174765241,-0.8846303211371981,-0.8846303211371981
204211_x_at,-1.3246493705261324,-0.43507381010061685,-0.8798615903133746,-0.8798615903133746
204211_x_at,-1.3246493705261324,-0.43507381010061685,-0.8798615903133746,-0.8798615903133746
1568713_a_at,-1.0444014888069901,-0.7086718741863451,-0.8765366814966676,-0.8765366814966676
1568713_a_at,-1.0444014888069901,-0.7086718741863451,-0.8765366814966676,-0.8765366814966676
203717_at,-1.1392873718613188,-0.6010830087743202,-0.8701851903178195,-0.8701851903178195
203717_at,-1.1392873718613188,-0.6010830087743202,-0.8701851903178195,-0.8701851903178195
238385_at,-1.3068301706888545,-0.4209830349001375,-0.863906602794496,-0.863906602794496
238385_at,-1.3068301706888545,-0.4209830349001375,-0.863906602794496,-0.863906602794496
203143_s_at,-1.3619284144061012,-0.35166051245865176,-0.8567944634323765,-0.8567944634323765
203143_s_at,-1.3619284144061012,-0.35166051245865176,-0.8567944634323765,-0.8567944634323765
212262_at,-1.1808917266409475,-0.5308244368870425,-0.855858081763995,-0.855858081763995
212262_at,-1.1808917266409475,-0.5308244368870425,-0.855858081763995,-0.855858081763995
201999_s_at,-1.5499700837253658,-0.1611634471992724,-0.8555667654623191,-0.8555667654623191
201999_s_at,-1.5499700837253658,-0.1611634471992724,-0.8555667654623191,-0.8555667654623191
236660_at,-1.1296795543106808,-0.5776962888891414,-0.8536879215999111,-0.8536879215999111
236660_at,-1.1296795543106808,-0.5776962888891414,-0.8536879215999111,-0.8536879215999111
206589_at,-1.1019211419331616,-0.588603750772074,-0.8452624463526178,-0.8452624463526178
206589_at,-1.1019211419331616,-0.588603750772074,-0.8452624463526178,-0.8452624463526178
239688_at,-1.1666832861153535,-0.511442595213871,-0.8390629406646123,-0.8390629406646123
239688_at,-1.1666832861153535,-0.511442595213871,-0.8390629406646123,-0.8390629406646123
205379_at,-1.3693471172479161,-0.30730733440206476,-0.8383272258249904,-0.8383272258249904
205379_at,-1.3693471172479161,-0.30730733440206476,-0.8383272258249904,-0.8383272258249904
202254_at,-1.2913977970572317,-0.3798766196364309,-0.8356372083468313,-0.8356372083468313
202254_at,-1.2913977970572317,-0.3798766196364309,-0.8356372083468313,-0.8356372083468313
