,59_SVM,59_LR,MEAN,MEDIAN
221933_at,-0.9978077156763728,-1.1236797447878957,-1.0607437302321343,-1.0607437302321343
227474_at,-0.9425239444008361,-0.9375257036635256,-0.9400248240321809,-0.9400248240321809
207375_s_at,-0.8759897195464871,-0.9684548621027123,-0.9222222908245996,-0.9222222908245996
226223_at,-0.9094143545986731,-0.9316707800142172,-0.9205425673064451,-0.9205425673064451
204005_s_at,-0.9021463946075182,-0.9352416732474824,-0.9186940339275003,-0.9186940339275003
204004_at,-0.9021475317396834,-0.9302138166909815,-0.9161806742153324,-0.9161806742153324
1569566_at,-0.8333771018974867,-0.9329421730966102,-0.8831596374970485,-0.8831596374970485
217897_at,-0.8686670104754305,-0.8825398845927047,-0.8756034475340676,-0.8756034475340676
213093_at,-0.8088236077218712,-0.9199083855643774,-0.8643659966431243,-0.8643659966431243
218862_at,-0.8251698657019846,-0.8951246871336493,-0.860147276417817,-0.860147276417817
205048_s_at,-0.8666814633161225,-0.7808889982296104,-0.8237852307728665,-0.8237852307728665
1554062_at,-0.7843275598291695,-0.8618339961479264,-0.823080777988548,-0.823080777988548
229380_at,-0.7234983921117878,-0.8479018687876113,-0.7857001304496996,-0.7857001304496996
1560031_at,-0.7288302840944355,-0.7811711236459454,-0.7550007038701905,-0.7550007038701905
214651_s_at,-0.7569829220750615,-0.7315886888967372,-0.7442858054858994,-0.7442858054858994
229450_at,-0.7099223616837651,-0.7755118155918358,-0.7427170886378005,-0.7427170886378005
1563420_at,-0.7310948029345639,-0.7541384051350164,-0.7426166040347901,-0.7426166040347901
217551_at,-0.7459522064796048,-0.7392090670032396,-0.7425806367414223,-0.7425806367414223
1552726_at,-0.689857501643517,-0.7752877313680385,-0.7325726165057778,-0.7325726165057778
1552727_s_at,-0.678855181000451,-0.780329136349209,-0.72959215867483,-0.72959215867483
215784_at,-0.6528056345984901,-0.7881648847068259,-0.720485259652658,-0.720485259652658
208475_at,-0.6934305835194408,-0.7380444784717441,-0.7157375309955925,-0.7157375309955925
215791_at,-0.6850825336896945,-0.7326856118271782,-0.7088840727584363,-0.7088840727584363
208592_s_at,-0.6456357248757474,-0.7702848257521662,-0.7079602753139568,-0.7079602753139568
228450_at,-0.7028401297195603,-0.7077519621847763,-0.7052960459521683,-0.7052960459521683
206589_at,-0.6471302305964138,-0.7619270402270547,-0.7045286354117343,-0.7045286354117343
1556504_at,-0.6929727047417119,-0.7146851573067176,-0.7038289310242147,-0.7038289310242147
242109_at,-0.6666447539753306,-0.735641545895154,-0.7011431499352423,-0.7011431499352423
219471_at,-0.6769394278647481,-0.7219918741054485,-0.6994656509850983,-0.6994656509850983
225639_at,-0.691883913067722,-0.6982772188933586,-0.6950805659805404,-0.6950805659805404
208476_s_at,-0.6638647619294876,-0.7093877324180746,-0.6866262471737812,-0.6866262471737812
239448_at,-0.6712261104743112,-0.7017033062871143,-0.6864647083807127,-0.6864647083807127
223017_at,-0.6593876382131797,-0.6984841758423747,-0.6789359070277772,-0.6789359070277772
216899_s_at,-0.6724522105015057,-0.6794429710972839,-0.6759475907993948,-0.6759475907993948
1554689_a_at,-0.6285731640303209,-0.721164122058346,-0.6748686430443335,-0.6748686430443335
225109_at,-0.6699352458515196,-0.6780328650591214,-0.6739840554553205,-0.6739840554553205
219355_at,-0.6378298871016825,-0.6837966635711858,-0.6608132753364342,-0.6608132753364342
227250_at,-0.6639248130303297,-0.6574193406708488,-0.6606720768505893,-0.6606720768505893
237442_at,-0.6322385194611485,-0.6797481319067291,-0.6559933256839388,-0.6559933256839388
205232_s_at,-0.6209538948304978,-0.6868668627236723,-0.653910378777085,-0.653910378777085
209524_at,-0.6392759846426207,-0.6661138265535609,-0.6526949055980908,-0.6526949055980908
223434_at,-0.6364887765411734,-0.6678801289106281,-0.6521844527259008,-0.6521844527259008
44790_s_at,-0.630934494558602,-0.6701727318647082,-0.6505536132116551,-0.6505536132116551
229228_at,-0.6411983875997505,-0.6559429847814443,-0.6485706861905973,-0.6485706861905973
219863_at,-0.6274949779528625,-0.6605644717386727,-0.6440297248457676,-0.6440297248457676
201212_at,-0.625550678211259,-0.6600868413234718,-0.6428187597673654,-0.6428187597673654
1568713_a_at,-0.5991917706109875,-0.6706498746216595,-0.6349208226163234,-0.6349208226163234
235644_at,-0.5939441341946292,-0.6747284599911724,-0.6343362970929007,-0.6343362970929007
215195_at,-0.5711185527653796,-0.6805332684755415,-0.6258259106204606,-0.6258259106204606
1554397_s_at,-0.5986212986647385,-0.6485105887636111,-0.6235659437141747,-0.6235659437141747
217511_at,-0.6176520316231559,-0.6238303046117667,-0.6207411681174613,-0.6207411681174613
215564_at,-0.5995354832330643,-0.6359003683451201,-0.6177179257890921,-0.6177179257890921
1555464_at,-0.5944565183612543,-0.6399473874419281,-0.6172019529015913,-0.6172019529015913
212262_at,-0.5806975936976938,-0.6488088739699515,-0.6147532338338226,-0.6147532338338226
1557661_at,-0.6114018787981949,-0.6163715255491532,-0.613886702173674,-0.613886702173674
205379_at,-0.5960588979422087,-0.6250612794999606,-0.6105600887210847,-0.6105600887210847
220051_at,-0.6192074501780843,-0.5957997527935212,-0.6075036014858027,-0.6075036014858027
211478_s_at,-0.5834509193742751,-0.6301483798780024,-0.6067996496261387,-0.6067996496261387
216693_x_at,-0.5897797205356453,-0.6203437743150344,-0.6050617474253399,-0.6050617474253399
207069_s_at,-0.5884386262659078,-0.6205508282155883,-0.604494727240748,-0.604494727240748
206749_at,-0.5437971107657441,-0.6625138398044541,-0.6031554752850992,-0.6031554752850992
242470_at,-0.5934589056832666,-0.6103537817945007,-0.6019063437388836,-0.6019063437388836
213355_at,-0.5649023223982226,-0.6384678657467926,-0.6016850940725076,-0.6016850940725076
236260_at,-0.5505251303574273,-0.6522711991645643,-0.6013981647609958,-0.6013981647609958
1558017_s_at,-0.5784033163370694,-0.6234881825797589,-0.6009457494584142,-0.6009457494584142
228266_s_at,-0.58619839544131,-0.6148183083236903,-0.6005083518825002,-0.6005083518825002
1558102_at,-0.5925603647639717,-0.6079304609662771,-0.6002454128651245,-0.6002454128651245
220920_at,-0.5970500157030214,-0.5939170381825326,-0.595483526942777,-0.595483526942777
212230_at,-0.5594041808913733,-0.6261074004520462,-0.5927557906717098,-0.5927557906717098
209311_at,-0.5737643407370218,-0.6112426074350322,-0.592503474086027,-0.592503474086027
1556643_at,-0.572871379667233,-0.608652303962247,-0.59076184181474,-0.59076184181474
240189_at,-0.5958874797882455,-0.5809577714018355,-0.5884226255950404,-0.5884226255950404
229139_at,-0.5490047358177024,-0.6273973085637671,-0.5882010221907348,-0.5882010221907348
212196_at,-0.5524086179148627,-0.6211350205549089,-0.5867718192348859,-0.5867718192348859
209905_at,-0.6044302344784557,-0.5685135114288342,-0.5864718729536449,-0.5864718729536449
228642_at,-0.5876504315561254,-0.5833612643066187,-0.5855058479313721,-0.5855058479313721
205233_s_at,-0.5506684833655707,-0.6187779946002357,-0.5847232389829032,-0.5847232389829032
228359_at,-0.5680895952501689,-0.6010213646003053,-0.584555479925237,-0.584555479925237
209526_s_at,-0.5712124888234336,-0.5970367742030942,-0.5841246315132639,-0.5841246315132639
239988_at,-0.5868330874927116,-0.5771926850592557,-0.5820128862759837,-0.5820128862759837
208715_at,-0.5487559828378219,-0.6104413793929777,-0.5795986811153998,-0.5795986811153998
211745_x_at,-0.5658894966788389,-0.5921655010832351,-0.579027498881037,-0.579027498881037
241300_at,-0.5669680110071147,-0.5888313460330965,-0.5778996785201056,-0.5778996785201056
226231_at,-0.5591517899103077,-0.5954952999853041,-0.5773235449478059,-0.5773235449478059
211324_s_at,-0.5526302036235252,-0.6005852482553092,-0.5766077259394172,-0.5766077259394172
203329_at,-0.5391701399823423,-0.6135468178658388,-0.5763584789240905,-0.5763584789240905
213782_s_at,-0.5912223564231838,-0.5582769276999593,-0.5747496420615715,-0.5747496420615715
205992_s_at,-0.5453494630903519,-0.60380769168684,-0.574578577388596,-0.574578577388596
242417_at,-0.5821464779758515,-0.5634278792453692,-0.5727871786106103,-0.5727871786106103
213150_at,-0.5852371867940521,-0.5601733403662565,-0.5727052635801544,-0.5727052635801544
205848_at,-0.568185791683797,-0.5757486361929949,-0.571967213938396,-0.571967213938396
205758_at,-0.5240676598665529,-0.6197533732151856,-0.5719105165408693,-0.5719105165408693
218276_s_at,-0.5459219454065353,-0.5970010844563444,-0.5714615149314398,-0.5714615149314398
230175_s_at,-0.5328398801145474,-0.6085984127851624,-0.5707191464498549,-0.5707191464498549
241931_at,-0.5509025426981528,-0.5902812323367694,-0.5705918875174611,-0.5705918875174611
205829_at,-0.5653856386347867,-0.5717405633404374,-0.5685631009876121,-0.5685631009876121
244121_at,-0.5573893946926538,-0.5778462828613393,-0.5676178387769966,-0.5676178387769966
225163_at,-0.5523742407018626,-0.5802435172456336,-0.566308878973748,-0.566308878973748
236660_at,-0.5379015655317836,-0.5925141536156744,-0.565207859573729,-0.565207859573729
232753_at,-0.5635704133930642,-0.5654410666104902,-0.5645057400017772,-0.5645057400017772
213139_at,-0.5760555397237955,-0.5513686685248042,-0.5637121041242998,-0.5637121041242998
215117_at,-0.5257326929027165,-0.5988068449784631,-0.5622697689405898,-0.5622697689405898
1555912_at,-0.5378274769998826,-0.5861769014134298,-0.5620021892066562,-0.5620021892066562
1561403_at,-0.558154724813406,-0.5656218833315138,-0.5618883040724598,-0.5618883040724598
201669_s_at,-0.5612038292296765,-0.5611646660467275,-0.5611842476382021,-0.5611842476382021
237849_at,-0.5374646096103154,-0.5840912259861456,-0.5607779177982305,-0.5607779177982305
205891_at,-0.5382395262363652,-0.5798624250937024,-0.5590509756650338,-0.5590509756650338
225726_s_at,-0.5557548102663149,-0.5603167792496738,-0.5580357947579944,-0.5580357947579944
206923_at,-0.5061296673591321,-0.608498134213168,-0.5573139007861501,-0.5573139007861501
201999_s_at,-0.5235562759192565,-0.5910379042268603,-0.5572970900730584,-0.5572970900730584
212599_at,-0.5548759203122396,-0.559570704312901,-0.5572233123125703,-0.5572233123125703
231890_at,-0.5406481114554734,-0.5723740543839954,-0.5565110829197344,-0.5565110829197344
