,59_SVM,59_LR,MEAN,MEDIAN
213680_at,-1.127252465775091,-1.3791888591198191,-1.2532206624474551,-1.2532206624474551
209125_at,-1.1016645894855261,-1.3670242222699907,-1.2343444058777584,-1.2343444058777584
209351_at,-1.0175800194720956,-1.3436286952686682,-1.180604357370382,-1.180604357370382
221665_s_at,-1.010335655249032,-1.2170970954867337,-1.1137163753678827,-1.1137163753678827
210633_x_at,-0.9655998904611189,-1.2436932223374122,-1.1046465563992656,-1.1046465563992656
213287_s_at,-0.9272965849625817,-1.1953039708835353,-1.0613002779230585,-1.0613002779230585
33322_i_at,-0.9170289510374725,-1.1939106827542174,-1.055469816895845,-1.055469816895845
213425_at,-1.0109996915147716,-1.0892269846550309,-1.0501133380849013,-1.0501133380849013
213796_at,-0.9361923184300613,-1.1300236208491559,-1.0331079696396086,-1.0331079696396086
33323_r_at,-0.8931718515908391,-1.1658580103631762,-1.0295149309770077,-1.0295149309770077
203700_s_at,-0.901999098536853,-1.1058968278338246,-1.0039479631853387,-1.0039479631853387
209126_x_at,-0.9027857663949558,-1.091266314691505,-0.9970260405432303,-0.9970260405432303
205064_at,-0.8736856466617863,-1.0674768551055547,-0.9705812508836704,-0.9705812508836704
200606_at,-0.8309165060339325,-1.0594500372591757,-0.9451832716465541,-0.9451832716465541
201820_at,-0.7958356955830597,-1.0545477131185308,-0.9251917043507952,-0.9251917043507952
219825_at,-0.8047960914109956,-1.012157274701911,-0.9084766830564532,-0.9084766830564532
214580_x_at,-0.813675952617292,-0.9868392329680115,-0.9002575927926517,-0.9002575927926517
207741_x_at,-0.8129582770398565,-0.9694885852655318,-0.8912234311526941,-0.8912234311526941
205694_at,-0.7889847151904784,-0.9891422269912754,-0.8890634710908769,-0.8890634710908769
208606_s_at,-0.7916265413002718,-0.977012050528069,-0.8843192959141704,-0.8843192959141704
211273_s_at,-0.809813839125849,-0.9560825596636803,-0.8829481993947647,-0.8829481993947647
205870_at,-0.7375464268174,-0.9988630430294992,-0.8682047349234496,-0.8682047349234496
205916_at,-0.7609384072588442,-0.9727090053647708,-0.8668237063118075,-0.8668237063118075
205081_at,-0.7584715511469179,-0.9699814132175063,-0.8642264821822121,-0.8642264821822121
214651_s_at,-0.8032442548872815,-0.9150552872898949,-0.8591497710885883,-0.8591497710885883
216470_x_at,-0.7725597487731102,-0.9447540557821174,-0.8586569022776138,-0.8586569022776138
219919_s_at,-0.795858548376403,-0.9003299583445437,-0.8480942533604734,-0.8480942533604734
217312_s_at,-0.7567212754641535,-0.9363953411500557,-0.8465583083071047,-0.8465583083071047
202345_s_at,-0.7763076596559784,-0.9159800463601606,-0.8461438530080695,-0.8461438530080695
207134_x_at,-0.7758456082301591,-0.9117498482972481,-0.8437977282637037,-0.8437977282637037
205653_at,-0.7484298571131143,-0.9263766463635864,-0.8374032517383503,-0.8374032517383503
207710_at,-0.7857783450824279,-0.8878395890479379,-0.8368089670651829,-0.8368089670651829
203699_s_at,-0.7607505162203985,-0.9123299774788421,-0.8365402468496204,-0.8365402468496204
210084_x_at,-0.7576783276378763,-0.8897770830081244,-0.8237277053230003,-0.8237277053230003
209691_s_at,-0.7003802305481179,-0.9401410391352043,-0.8202606348416611,-0.8202606348416611
208651_x_at,-0.7453129824860316,-0.8819579529709708,-0.8136354677285011,-0.8136354677285011
220016_at,-0.6899661824669844,-0.9332389915425324,-0.8116025870047584,-0.8116025870047584
216935_at,-0.7487718710847915,-0.8682517563569964,-0.808511813720894,-0.808511813720894
217023_x_at,-0.7584574527306442,-0.8566996862262891,-0.8075785694784667,-0.8075785694784667
215704_at,-0.7315114272147814,-0.8819273702441093,-0.8067193987294453,-0.8067193987294453
212236_x_at,-0.7144191081358977,-0.8976602603268343,-0.806039684231366,-0.806039684231366
205338_s_at,-0.7060684594027414,-0.8975528500979362,-0.8018106547503387,-0.8018106547503387
204855_at,-0.7018400102293446,-0.8983150184865689,-0.8000775143579568,-0.8000775143579568
205683_x_at,-0.7301389459878362,-0.8593544892436131,-0.7947467176157247,-0.7947467176157247
208806_at,-0.7476321448590457,-0.8377109591035081,-0.7926715519812769,-0.7926715519812769
214894_x_at,-0.7475514628259535,-0.8363067977112917,-0.7919291302686227,-0.7919291302686227
206421_s_at,-0.7406495395925113,-0.8337675727541781,-0.7872085561733447,-0.7872085561733447
212187_x_at,-0.6887031870287551,-0.8813338606706836,-0.7850185238497194,-0.7850185238497194
207908_at,-0.7410112964777007,-0.8260838550397261,-0.7835475757587134,-0.7835475757587134
220013_at,-0.6905707188064194,-0.8543678641201643,-0.7724692914632918,-0.7724692914632918
215382_x_at,-0.7109615036901785,-0.8338129458203556,-0.772387224755267,-0.772387224755267
220023_at,-0.717507579575834,-0.8262695728297772,-0.7718885762028056,-0.7718885762028056
203798_s_at,-0.6976456899916418,-0.8411193376986673,-0.7693825138451545,-0.7693825138451545
