,59_SVM,59_LR,MEAN,MEDIAN
219933_at,-0.915391085326973,-1.06966806082023,-0.9925295730736015,-0.9925295730736015
206968_s_at,-0.8449982316044983,-0.9939818028787792,-0.9194900172416387,-0.9194900172416387
202209_at,-0.8491234889330895,-0.981407613835673,-0.9152655513843813,-0.9152655513843813
200750_s_at,-0.7718398483992873,-1.006480814826744,-0.8891603316130157,-0.8891603316130157
201856_s_at,-0.724166617941162,-0.9707386618228168,-0.8474526398819894,-0.8474526398819894
204127_at,-0.7204426209025281,-0.9079649995462045,-0.8142038102243663,-0.8142038102243663
210026_s_at,-0.6687434669062252,-0.9458799413109027,-0.807311704108564,-0.807311704108564
212274_at,-0.7409503463361987,-0.8668818454253436,-0.8039160958807712,-0.8039160958807712
217947_at,-0.737165068100258,-0.8663575137178738,-0.8017612909090659,-0.8017612909090659
203593_at,-0.7116644218325037,-0.8917832326607035,-0.8017238272466036,-0.8017238272466036
203177_x_at,-0.6903138654918088,-0.8960922759302323,-0.7932030707110206,-0.7932030707110206
204566_at,-0.7065537797097307,-0.8634567413019585,-0.7850052605058446,-0.7850052605058446
203496_s_at,-0.6429567744459204,-0.9000613726303032,-0.7715090735381118,-0.7715090735381118
209161_at,-0.6082124125055022,-0.9195387077447201,-0.7638755601251112,-0.7638755601251112
213188_s_at,-0.6360101965177138,-0.8688168507085615,-0.7524135236131377,-0.7524135236131377
203521_s_at,-0.6208010473037022,-0.8529363468694079,-0.736868697086555,-0.736868697086555
221798_x_at,-0.6142612940898646,-0.8538590608607104,-0.7340601774752875,-0.7340601774752875
200699_at,-0.5890038549762516,-0.87744576287742,-0.7332248089268358,-0.7332248089268358
217491_x_at,-0.6401648660459925,-0.7905591250653714,-0.715361995555682,-0.715361995555682
208952_s_at,-0.5933171608881281,-0.8344290401272815,-0.7138731005077048,-0.7138731005077048
201543_s_at,-0.5615016658706453,-0.859532502028951,-0.7105170839497982,-0.7105170839497982
218133_s_at,-0.613344762096974,-0.8066828843082129,-0.7100138232025934,-0.7100138232025934
208190_s_at,-0.6261624205054681,-0.7919262345262625,-0.7090443275158653,-0.7090443275158653
203781_at,-0.6194559592237492,-0.7961394255640224,-0.7077976923938858,-0.7077976923938858
202190_at,-0.584004992333826,-0.817260199887638,-0.700632596110732,-0.700632596110732
217830_s_at,-0.5829109551106749,-0.817697511693854,-0.7003042334022644,-0.7003042334022644
205402_x_at,-0.6114166215955258,-0.7813295937688689,-0.6963731076821973,-0.6963731076821973
201603_at,-0.5335303920703197,-0.8483298331474887,-0.6909301126089042,-0.6909301126089042
205258_at,-0.5939816829407385,-0.7864638312208729,-0.6902227570808057,-0.6902227570808057
203755_at,-0.5692681019214128,-0.8108613051472348,-0.6900647035343237,-0.6900647035343237
203533_s_at,-0.60673964462515,-0.7665726265521883,-0.6866561355886691,-0.6866561355886691
202527_s_at,-0.5698326174595645,-0.7840063598969776,-0.676919488678271,-0.676919488678271
204426_at,-0.5635453034570529,-0.7885696448317777,-0.6760574741444153,-0.6760574741444153
204341_at,-0.5236472531679021,-0.8203887931915258,-0.6720180231797139,-0.6720180231797139
208948_s_at,-0.5487708295250951,-0.7947672549024417,-0.6717690422137684,-0.6717690422137684
203405_at,-0.5837937781790551,-0.7573730407883179,-0.6705834094836864,-0.6705834094836864
206976_s_at,-0.5645596376772053,-0.7753031048110322,-0.6699313712441187,-0.6699313712441187
203301_s_at,-0.5995359070794003,-0.7398903065559733,-0.6697131068176868,-0.6697131068176868
204858_s_at,-0.5241130761129735,-0.794090357460116,-0.6591017167865447,-0.6591017167865447
212217_at,-0.5628772630523363,-0.7526669710695328,-0.6577721170609345,-0.6577721170609345
219683_at,-0.5691526004066865,-0.7448839313263176,-0.657018265866502,-0.657018265866502
201761_at,-0.5042858359127124,-0.8092004972149892,-0.6567431665638508,-0.6567431665638508
206854_s_at,-0.5788429233743569,-0.7289355469335017,-0.6538892351539294,-0.6538892351539294
212452_x_at,-0.5274725684909604,-0.7772057362301361,-0.6523391523605482,-0.6523391523605482
218036_x_at,-0.5855935892190135,-0.7049973048531685,-0.645295447036091,-0.645295447036091
209974_s_at,-0.5502863666840255,-0.729352078990276,-0.6398192228371508,-0.6398192228371508
207549_x_at,-0.5290535457586504,-0.7462387825064374,-0.6376461641325439,-0.6376461641325439
201074_at,-0.5697782584481836,-0.6978036169556046,-0.6337909377018941,-0.6337909377018941
203428_s_at,-0.4900417548817377,-0.7754746288886092,-0.6327581918851735,-0.6327581918851735
204252_at,-0.5762135352941046,-0.6879383048789707,-0.6320759200865376,-0.6320759200865376
212410_at,-0.47218816458794394,-0.7730123218487628,-0.6226002432183534,-0.6226002432183534
213292_s_at,-0.5265776822761494,-0.7175638973408078,-0.6220707898084786,-0.6220707898084786
202502_at,-0.5330051917346904,-0.7054509795985123,-0.6192280856666014,-0.6192280856666014
222067_x_at,-0.5829119686374084,-0.6547264516670414,-0.6188192101522249,-0.6188192101522249
218640_s_at,-0.4848826737035892,-0.743068465585836,-0.6139755696447126,-0.6139755696447126
212855_at,-0.5579637606313599,-0.6632456767881383,-0.6106047187097491,-0.6106047187097491
217971_at,-0.5056127203922425,-0.7123202977758032,-0.6089665090840228,-0.6089665090840228
214838_at,-0.5047974151417511,-0.7079505323769776,-0.6063739737593643,-0.6063739737593643
207604_s_at,-0.549913015038251,-0.6607240384131213,-0.6053185267256862,-0.6053185267256862
202504_at,-0.5000573841226646,-0.7091713712872363,-0.6046143777049504,-0.6046143777049504
219092_s_at,-0.5650972057095249,-0.6434276241884391,-0.604262414948982,-0.604262414948982
200691_s_at,-0.5461767540287835,-0.6618031673707209,-0.6039899606997522,-0.6039899606997522
203056_s_at,-0.5358235022597305,-0.6623346118923178,-0.5990790570760242,-0.5990790570760242
215699_x_at,-0.5545649402573518,-0.6430114132865928,-0.5987881767719723,-0.5987881767719723
205359_at,-0.47723523195630424,-0.719575961089383,-0.5984055965228436,-0.5984055965228436
209033_s_at,-0.4858441209240251,-0.7092816935298726,-0.5975629072269488,-0.5975629072269488
211391_s_at,-0.5228894514752717,-0.670899036828446,-0.5968942441518588,-0.5968942441518588
210449_x_at,-0.5595903514958085,-0.6336628925823816,-0.596626622039095,-0.596626622039095
218663_at,-0.5613352388616004,-0.6290534629041098,-0.5951943508828551,-0.5951943508828551
