,59_SVM,59_LR,MEAN,MEDIAN
205965_at,-1.4397295321586407,-1.196404002099976,-1.3180667671293085,-1.3180667671293085
205965_at,-1.4397295321586407,-1.196404002099976,-1.3180667671293085,-1.3180667671293085
215116_s_at,-1.4779874440452345,-1.137790579089146,-1.3078890115671902,-1.3078890115671902
215116_s_at,-1.4779874440452345,-1.137790579089146,-1.3078890115671902,-1.3078890115671902
216336_x_at,-1.26385129792426,-1.303264001929421,-1.2835576499268404,-1.2835576499268404
216336_x_at,-1.26385129792426,-1.303264001929421,-1.2835576499268404,-1.2835576499268404
208534_s_at,-1.1770602821799188,-1.230704237627871,-1.203882259903895,-1.203882259903895
208534_s_at,-1.1770602821799188,-1.230704237627871,-1.203882259903895,-1.203882259903895
205206_at,-1.7940303019741328,-0.577100943097373,-1.185565622535753,-1.185565622535753
205206_at,-1.7940303019741328,-0.577100943097373,-1.185565622535753,-1.185565622535753
212363_x_at,-1.4732237224669802,-0.8749756063707175,-1.1740996644188488,-1.1740996644188488
212363_x_at,-1.4732237224669802,-0.8749756063707175,-1.1740996644188488,-1.1740996644188488
208751_at,-1.1411215793389515,-1.1841417638509424,-1.162631671594947,-1.162631671594947
208751_at,-1.1411215793389515,-1.1841417638509424,-1.162631671594947,-1.162631671594947
205774_at,-1.2411103660062657,-1.0447402520142826,-1.1429253090102742,-1.1429253090102742
205774_at,-1.2411103660062657,-1.0447402520142826,-1.1429253090102742,-1.1429253090102742
213933_at,-1.3873092325750866,-0.8811604891847172,-1.134234860879902,-1.134234860879902
213933_at,-1.3873092325750866,-0.8811604891847172,-1.134234860879902,-1.134234860879902
204454_at,-1.5074715870379407,-0.7453543956793137,-1.1264129913586272,-1.1264129913586272
204454_at,-1.5074715870379407,-0.7453543956793137,-1.1264129913586272,-1.1264129913586272
217912_at,-1.3604827256938334,-0.8882755930395632,-1.1243791593666983,-1.1243791593666983
217912_at,-1.3604827256938334,-0.8882755930395632,-1.1243791593666983,-1.1243791593666983
203757_s_at,-1.1292705544474184,-0.9861888029669628,-1.0577296787071906,-1.0577296787071906
203757_s_at,-1.1292705544474184,-0.9861888029669628,-1.0577296787071906,-1.0577296787071906
212538_at,-1.3727821261156856,-0.7396294690572117,-1.0562057975864487,-1.0562057975864487
212538_at,-1.3727821261156856,-0.7396294690572117,-1.0562057975864487,-1.0562057975864487
200710_at,-1.3649037378482467,-0.7429379153539072,-1.0539208266010769,-1.0539208266010769
200710_at,-1.3649037378482467,-0.7429379153539072,-1.0539208266010769,-1.0539208266010769
205479_s_at,-1.4132854551635294,-0.6637257273415247,-1.0385055912525272,-1.0385055912525272
205479_s_at,-1.4132854551635294,-0.6637257273415247,-1.0385055912525272,-1.0385055912525272
209081_s_at,-1.2443578725492075,-0.830843144393072,-1.0376005084711397,-1.0376005084711397
209081_s_at,-1.2443578725492075,-0.830843144393072,-1.0376005084711397,-1.0376005084711397
219962_at,-1.3031688517332312,-0.7420165435595412,-1.0225926976463862,-1.0225926976463862
219962_at,-1.3031688517332312,-0.7420165435595412,-1.0225926976463862,-1.0225926976463862
206295_at,-1.2115370359784163,-0.8315546923398603,-1.0215458641591384,-1.0215458641591384
206295_at,-1.2115370359784163,-0.8315546923398603,-1.0215458641591384,-1.0215458641591384
202765_s_at,-1.111082406062771,-0.8855336583205502,-0.9983080321916606,-0.9983080321916606
202765_s_at,-1.111082406062771,-0.8855336583205502,-0.9983080321916606,-0.9983080321916606
222258_s_at,-1.257054901856976,-0.7166133896889789,-0.9868341457729775,-0.9868341457729775
