,0_RF,1_XGB,2_LGBM,3_ExtraTrees,MEAN,MEDIAN
1569566_at,0.9482400194720615,0.47058827,0.6,0.03333238879406611,0.5130401687789113,0.5130401687789113
224252_s_at,0.6513965070278399,0.029411767,0.0,1.0,0.42020206842648367,0.42020206842648367
1563473_at,0.83411639830744,0.11764707,0.2,0.3685865780040174,0.3800875107559592,0.3685865780040174
201015_s_at,0.5318851245417158,0.014705883,0.0,0.9452498636588693,0.37296021788490813,0.37296021788490813
223748_at,0.0,0.16176471,1.0,0.32691237967738085,0.37216927270474176,0.32691237967738085
221933_at,0.45645778892227623,0.16176471,0.4,0.43642788640709573,0.3636625966177396,0.4
202270_at,0.6799711583651414,0.47058827,0.0,0.2388835482217552,0.34736074335910366,0.34736074335910366
225791_at,0.4588920665757898,0.13235295,0.0,0.7887000643503892,0.3449862697787402,0.3449862697787402
213503_x_at,0.2758637185448275,0.102941185,0.6,0.319521761471205,0.3245816663130024,0.319521761471205
209626_s_at,0.7631319353125467,0.04411765,0.4,0.058117000177876826,0.3163416459112302,0.3163416459112302
205900_at,0.8081404595100016,0.0,0.0,0.4303917289030734,0.3096330471032688,0.3096330471032688
1556224_a_at,0.5463888930440941,0.0882353,0.4,0.17673659442854964,0.3028401959454095,0.3028401959454095
211548_s_at,0.29520271723082453,0.0882353,0.4,0.4272160442841187,0.3026635144559844,0.3026635144559844
229611_at,1.0,0.13235295,0.0,0.0,0.28308823704719543,0.13235294818878174
230756_at,0.5272451878127861,0.0,0.4,0.1882043327453476,0.2788623801395334,0.2788623801395334
1053_at,0.02410528268661561,1.0,0.0,0.0,0.25602632067165393,0.02410528268661561
215195_at,0.3663556315762229,0.0,0.0,0.5853379673590408,0.23792339973381593,0.23792339973381593
206923_at,0.0,0.102941185,0.6,0.2342666693803949,0.234301963654093,0.2342666693803949
211931_s_at,0.4605265000841182,0.0,0.0,0.47163273774793885,0.23303980945801428,0.23303980945801428
212443_at,0.448696509319383,0.0,0.0,0.4626783088964146,0.2278437045539494,0.2278437045539494
229380_at,0.366697616689034,0.029411767,0.0,0.49396676161961356,0.22251903624668562,0.22251903624668562
209930_s_at,0.48789439807796264,0.04411765,0.0,0.31043819294296526,0.21061255979385626,0.21061255979385626
212262_at,0.0,0.0,0.2,0.5841507775655165,0.19603769439137914,0.19603769439137914
235285_at,0.3301530939818686,0.04411765,0.4,0.0,0.19356768553409143,0.19356768553409143
228098_s_at,0.6250846239880731,0.0,0.0,0.13830256132440286,0.190846796328119,0.13830256132440286
236260_at,0.4020433910605472,0.0,0.0,0.3292637616683147,0.18282678818221548,0.18282678818221548
239699_s_at,0.0,0.029411767,0.6,0.07813693288608958,0.1768871748910461,0.07813693288608958
205639_at,0.5731944502457605,0.0,0.0,0.12803601172166762,0.17530761549185703,0.12803601172166762
228658_at,0.341768812055742,0.0,0.0,0.3588520537308385,0.1751552164466451,0.1751552164466451
225783_at,0.0,0.0882353,0.6,0.0,0.17205882407724857,0.0882352963089943
202484_s_at,0.29969643588982486,0.058823533,0.0,0.3291277967173702,0.1719119414908462,0.1719119414908462
222781_s_at,0.6640018090323928,0.0,0.0,0.0,0.1660004522580982,0.0
204689_at,0.0,0.0,0.0,0.6572745723688636,0.1643186430922159,0.0
205233_s_at,0.0,0.0,0.0,0.6548836214571533,0.16372090536428832,0.0
205910_s_at,0.3300518300864091,0.0,0.0,0.3094810391057767,0.15988321729804644,0.15988321729804644
219282_s_at,0.39153676914510227,0.0,0.0,0.24289409366847534,0.1586077157033944,0.1586077157033944
1553537_at,0.13295540033375863,0.5,0.0,0.0,0.15823885008343966,0.13295540033375863
218108_at,0.2886249818906685,0.029411767,0.0,0.2865131037361318,0.15113746307622378,0.15113746307622378
204692_at,0.3423410515768214,0.0,0.0,0.2529438298637902,0.14882122036015288,0.14882122036015288
230526_at,0.35334658266238744,0.04411765,0.0,0.18887475612579455,0.1465847467356698,0.1465847467356698
227134_at,0.12641282232410325,0.029411767,0.0,0.4209381802967615,0.1441906923247399,0.12641282232410325
206857_s_at,0.0,0.0,0.0,0.5619224575073279,0.14048061437683199,0.0
202552_s_at,0.3507951709991393,0.0,0.0,0.17467863315330986,0.1313684510381123,0.1313684510381123
1568713_a_at,0.021094003433410245,0.04411765,0.0,0.44845467308727127,0.12841658116879467,0.04411764815449715
203522_at,0.25986766795764704,0.014705883,0.2,0.03446496252045177,0.12725962845428657,0.12725962845428657
228667_at,0.2124557967463153,0.0,0.2,0.09116161521090889,0.12590435298930605,0.12590435298930605
1559759_at,0.4282494949301825,0.0,0.0,0.06875623052863407,0.12425143136470414,0.06875623052863407
213370_s_at,0.0,0.0,0.0,0.49693236356786874,0.12423309089196719,0.0
215933_s_at,0.0,0.0,0.0,0.49664525637630347,0.12416131409407587,0.0
207908_at,0.14304253993667446,0.014705883,0.0,0.3340587267934922,0.12295178751730351,0.12295178751730351
201499_s_at,0.3584810739264748,0.0882353,0.0,0.043923191411859824,0.12265989041183223,0.0882352963089943
1564435_a_at,0.11311721077143502,0.029411767,0.0,0.34409362149933687,0.12165564973721668,0.11311721077143502
225258_at,0.38071761265583115,0.0,0.0,0.10055681990304956,0.12031860813972017,0.10055681990304956
208999_at,0.3471901458197203,0.029411767,0.0,0.09351927211634035,0.11753029615353888,0.09351927211634035
206589_at,0.0,0.058823533,0.0,0.4074171704373765,0.11656017594839156,0.05882353335618973
218337_at,0.02172942379010688,0.0,0.0,0.4321616361036188,0.11347276497343142,0.02172942379010688
226627_at,0.0,0.04411765,0.0,0.40689752066019047,0.1127537922036719,0.04411764815449715
209661_at,0.1916159081879165,0.058823533,0.0,0.19594293412642622,0.11159559391763312,0.11159559391763312
230689_at,0.031093221402898188,0.0,0.2,0.21479154638560258,0.1114711919471252,0.1114711919471252
220588_at,0.15851019862036908,0.029411767,0.0,0.2520440340919183,0.10999149984759556,0.10999149984759556
1552742_at,0.0,0.38235295,0.0,0.051713716543044685,0.1085166661829566,0.051713716543044685
222464_s_at,0.40375786423687104,0.0,0.0,0.027822265014121036,0.10789503231274802,0.027822265014121036
203914_x_at,0.0,0.014705883,0.0,0.37985919450222794,0.09864126946031884,0.014705883339047432
214909_s_at,0.3726878247228244,0.0,0.0,0.009925909205890133,0.09565343348217864,0.009925909205890133
239886_at,0.3741896801381473,0.0,0.0,0.006172829108140622,0.09509062731157197,0.006172829108140622
221677_s_at,0.2811520201574671,0.04411765,0.0,0.05431944840514472,0.09489727917927725,0.05431944840514472
1556945_a_at,0.0,0.0,0.0,0.3783359650621867,0.09458399126554667,0.0
223600_s_at,0.11510143405091104,0.058823533,0.2,0.0,0.0934812418517752,0.0934812418517752
238622_at,0.3325020374568654,0.0,0.0,0.032865742770585495,0.09134194505686273,0.032865742770585495
37796_at,0.0,0.04411765,0.0,0.3085979856634092,0.08817890845447658,0.04411764815449715
215807_s_at,0.05342965593797075,0.0,0.0,0.29167178167729646,0.08627535940381681,0.05342965593797075
211549_s_at,0.0,0.058823533,0.0,0.28421159620420544,0.08575878239009879,0.05882353335618973
223017_at,0.0,0.0,0.2,0.14108464189658623,0.08527116047414657,0.08527116047414657
206301_at,0.04948544646139274,0.11764707,0.0,0.1649847271154388,0.08302931007230274,0.08302931007230274
1553970_s_at,0.0,0.11764707,0.2,0.007638672431973504,0.08132143478608825,0.08132143478608825
230932_at,0.0,0.014705883,0.0,0.2995480621820644,0.07856348638027796,0.014705883339047432
201721_s_at,0.3135713827175308,0.0,0.0,0.0,0.0783928456793827,0.0
214958_s_at,0.0,0.0,0.0,0.29710573723433836,0.07427643430858459,0.0
1552726_at,0.007759049528863733,0.029411767,0.0,0.2535068983620496,0.07266942864225205,0.029411766678094864
219513_s_at,0.2573636611732013,0.029411767,0.0,0.0,0.07169385696282404,0.029411766678094864
204767_s_at,0.0,0.014705883,0.0,0.27131391590953746,0.07150494981214622,0.014705883339047432
226925_at,0.04225454341557012,0.014705883,0.0,0.2263215026266878,0.07082048234532634,0.04225454341557012
206655_s_at,0.02066419020615772,0.0,0.0,0.2347305103481594,0.06384867513857928,0.02066419020615772
45297_at,0.0,0.1764706,0.0,0.0784656854220562,0.0637340695100112,0.0637340695100112
1554689_a_at,0.0,0.1764706,0.0,0.07744815367820397,0.06347968657404814,0.06347968657404814
205718_at,0.004451905750301233,0.0,0.0,0.24943454502953316,0.0634716126949586,0.004451905750301233
219327_s_at,0.0,0.029411767,0.0,0.22410343936006769,0.06337880150954064,0.029411766678094864
208816_x_at,0.0321865397216691,0.22058825,0.0,0.0,0.06319369791750643,0.0321865397216691
206726_at,0.049063964410805225,0.0,0.2,0.0,0.06226599110270131,0.049063964410805225
208592_s_at,0.0,0.014705883,0.0,0.22729726496632405,0.06050078707634287,0.014705883339047432
200934_at,0.0,0.029411767,0.0,0.20861665120299788,0.05950710447027319,0.029411766678094864
208836_at,0.12507588933921227,0.0,0.0,0.1099902996501591,0.05876654724734284,0.05876654724734284
231729_s_at,0.0,0.073529415,0.0,0.1478378927434648,0.0553418268940142,0.0553418268940142
211772_x_at,0.0,0.22058825,0.0,0.0,0.05514706298708916,0.0
201498_at,0.0,0.04411765,0.0,0.17517173496363467,0.054822345779532954,0.04411764815449715
212488_at,0.0,0.0,0.0,0.21085977900285172,0.05271494475071293,0.0
216862_s_at,0.09767581568607496,0.014705883,0.0,0.09683813859404987,0.052304959404793065,0.052304959404793065
218376_s_at,0.0,0.0,0.0,0.20248844643089295,0.05062211160772324,0.0
