,0_RF,1_XGB,3_ExtraTrees,6_RF,7_XGB,9_ExtraTrees,12_RF,13_XGB,15_ExtraTrees,18_RF,19_XGB,21_ExtraTrees,24_RF,25_XGB,27_ExtraTrees,30_RF,31_XGB,33_ExtraTrees,36_RF,37_XGB,39_ExtraTrees,42_RF,43_XGB,45_ExtraTrees,48_RF,49_XGB,51_ExtraTrees,54_RF,55_XGB,57_ExtraTrees,MEAN,MEDIAN
1569566_at,1.0,0.4222222,0.5544509761118381,0.023670261062565524,0.4222222,0.37546837040838993,0.5419059256811086,0.4222222,0.5675704422839095,0.7090899327992596,0.4222222,0.16153031132896664,0.2095333112322943,0.4222222,0.3863758515168951,0.977920472717834,0.4222222,0.7023818857806422,0.47173972833403094,0.4222222,0.24731804489887588,0.6993673184751164,0.4222222,0.3689422386260501,1.0,0.4222222,0.282007472340401,1.0,0.4222222,0.08563829356032387,0.48623776025722226,0.42222219705581665
201015_s_at,0.0,0.28888887,0.36187138559182025,0.3836963900600849,0.28888887,0.6858724121815322,0.08300064995648236,0.28888887,0.22458561516181447,1.0,0.28888887,0.49270386514602366,1.0,0.28888887,0.43171418750719015,0.5569786148432766,0.28888887,0.18406280368259792,0.024172860187880417,0.28888887,0.2923009527510996,0.7828335595997115,0.28888887,0.060537916723991454,0.6812266174101875,0.28888887,0.8425646867447798,0.8770753275927777,0.28888887,0.47861321069002816,0.41108999241763233,0.2888888716697693
1553970_s_at,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1557934094113808,1.0,0.044003569099577915,0.0,1.0,0.3560403377451078,0.008195235901444475,1.0,0.0828232319340741,0.36665861320678933,1.0,0.011426918966659821,0.008263618432206686,1.0,0.05358685909371618,0.0051867005692600035,1.0,0.16620909746993978,0.07459024032405381,1.0,0.027263378557372684,0.37866804035705287,0.0828232319340741
209930_s_at,0.0792354381490131,0.08888888,0.0,0.49699587462650685,0.08888888,0.1307779117789168,0.6239950627510957,0.08888888,0.3075334493322376,0.0,0.08888888,0.238668398591956,0.36289831700593983,0.08888888,1.0,0.0,0.08888888,0.8141652591444828,0.41401996433807253,0.08888888,1.0,0.6667070024256043,0.08888888,0.5897558022477211,0.1934683807476704,0.08888888,0.08426902498848,0.3104599477300306,0.08888888,0.5898976160832164,0.2930578761949309,0.1307779117789168
228667_at,0.33476840648250705,0.04444444,0.5037129215749074,0.8891042855135044,0.04444444,0.4720392981811947,0.1750010654520037,0.04444444,0.3485606117418475,0.11555904333471044,0.04444444,0.3128275310024669,0.0,0.04444444,0.059673457307063686,0.677587683944992,0.04444444,0.158993607601184,0.6464245339395791,0.04444444,0.12676504463084634,0.4899723140140112,0.04444444,0.2981866667807032,0.36218921219785455,0.04444444,0.7834836515462804,0.22387280448101496,0.04444444,0.70130197100749,0.2708156176229218,0.1750010654520037
1553450_s_at,0.2514338148605903,0.5111111,0.02596212348849085,0.8356103498306645,0.5111111,0.10943000784967204,0.0,0.5111111,0.18390498186656876,0.010776068376265043,0.5111111,0.13941735779401263,0.2938885418460742,0.5111111,0.12604154649853255,0.0,0.5111111,0.05953982418852388,0.3918711176730859,0.5111111,0.0,0.0,0.5111111,0.04611811430301342,0.19934127111171135,0.5111111,0.031285308311462465,0.013674731762298172,0.5111111,0.05050813277216751,0.2626638032999427,0.19934127111171135
209661_at,0.0,0.13333333,0.10965438768853471,0.7480170880577695,0.13333333,1.0,0.0050130638241714254,0.13333333,0.15175002751800928,0.08950570217531849,0.13333333,1.0,0.36438324798461574,0.13333333,0.2567104646017949,0.4645762305966537,0.13333333,0.17932730687741974,0.39611985962016466,0.13333333,0.0,0.19024330131790226,0.13333333,0.15488616265658922,0.0,0.13333333,0.02700220751175887,0.18757497258341593,0.13333333,0.5747104326096878,0.24109359031614272,0.13333332538604736
225791_at,0.2640939887392992,0.0,0.034914186702273614,0.8050850150450709,0.0,0.586146475143906,0.4907373351244334,0.0,0.15063444503533702,0.06346775183944948,0.0,0.37532544273292784,0.46869372792375247,0.0,0.11270538756805593,0.432059189052002,0.0,0.6063948623678402,0.48019101767010447,0.0,0.26284789058503955,0.444331666418133,0.0,0.07935029700186821,0.8353961529932977,0.0,0.35232390209193853,0.21847717406434028,0.0,0.03350217213002275,0.23655593600763639,0.15063444503533702
224252_s_at,0.20863718779354948,0.0,1.0,0.30402848389380627,0.0,0.4515273058515457,0.3980626226783657,0.0,0.05242020377776262,0.0025442736024403126,0.0,0.5493107826378915,0.0,0.0,0.47248535488237925,0.5512366278968649,0.0,1.0,0.3970231177253296,0.0,0.4161630194439329,0.0,0.0,0.5250037749706876,0.11255207569885727,0.0,0.3242729652974959,0.01567462973645009,0.0,0.09087635138949184,0.22906062590922835,0.09087635138949184
203522_at,0.2710013424649899,0.35555553,0.04592667844678908,0.16622815669897933,0.35555553,0.0,0.12254131131975118,0.35555553,0.0,0.023036188619605363,0.35555553,0.49108284447569317,0.28962403228588257,0.35555553,0.05047606494575474,0.7244980124417452,0.35555553,0.0,0.061837738048106265,0.35555553,0.0,0.003990915522035209,0.35555553,0.02256444691574994,0.0,0.35555553,0.28341121749795184,0.18400443893563448,0.35555553,0.01420343863566584,0.2103327390294088,0.2103327390294088
239699_s_at,0.0,0.22222222,0.08991823401961403,0.15385059936279863,0.22222222,0.27571969324648693,0.5067531442192478,0.22222222,0.051113357458220265,0.0689020771858233,0.22222222,0.6049270869655022,0.10573157297342115,0.22222222,0.06540735500568975,0.9596012967463997,0.22222222,0.12823416259640363,0.16953675777115298,0.22222222,0.011660633144125201,0.0,0.22222222,0.14007199119156616,0.6004912471341568,0.22222222,0.030607520352867852,0.0,0.22222222,0.0738327154448617,0.20861938945324685,0.20861938945324685
221933_at,0.2846688810695219,0.0,0.26063249913291686,0.4293952175204931,0.0,0.0,0.6426964539700236,0.0,0.18063025603061295,0.4305117591656911,0.0,0.0,0.3504540818906143,0.0,0.20687072337295806,0.0,0.0,0.12987026944283164,0.3676380018253724,0.0,0.11805013980874637,0.464592267606985,0.0,1.0,0.00444694005391795,0.0,0.6504868694834043,0.25323441465691765,0.0,0.30576947925079573,0.20266494180939346,0.12987026944283164
1552726_at,0.0,0.44444445,0.47691727658692534,0.004353886245675937,0.44444445,0.08360790798167309,0.019279259733155123,0.44444445,0.07218649272565884,0.0,0.44444445,0.014822989552987243,0.15207968572153543,0.44444445,0.0,0.006665274844348212,0.44444445,0.008004291852113956,0.0,0.44444445,0.0,0.1411690228459271,0.44444445,0.11018648439786222,0.0,0.44444445,0.0,0.2749028307143544,0.44444445,0.0,0.19362066269201175,0.11018648439786222
1563473_at,0.32372995440158214,0.02222222,0.5575012549512893,0.3584390188834658,0.02222222,0.0023530043101169483,0.39718249692056506,0.02222222,0.28957727414247014,0.013062649809692467,0.02222222,0.6807489408894839,0.041365327383964666,0.02222222,0.4113647927407303,0.6184108325254034,0.02222222,0.14885581812757842,0.0,0.02222222,0.2601107550940492,0.0,0.02222222,0.11106165380513149,0.2856769823610277,0.02222222,0.44114634788338036,0.5508730765894756,0.02222222,0.0,0.19045607965987174,0.041365327383964666
204692_at,0.0,0.0,0.41162311627667125,0.3291808380290539,0.0,0.653163405892094,0.5343102656482696,0.0,0.08086790766111875,0.46716469222112617,0.0,0.2796196024503587,0.608091271793512,0.0,0.0,0.27445007724126863,0.0,0.09488610833198387,0.33046801449471397,0.0,0.2093039249976492,0.5878160096469784,0.0,0.0,0.0,0.0,0.07627187137914183,0.0489831229286505,0.0,0.7020844595521316,0.1896094896181574,0.07627187137914183
223017_at,0.14456748158482438,0.15555555,0.5610413355061347,0.0,0.15555555,0.3113190958939929,0.15629779541254207,0.15555555,0.17492189762178312,0.2890173281538645,0.15555555,0.29524075910157493,0.3329783421216922,0.15555555,0.1775090691622851,0.3891139778245757,0.15555555,0.4243753774638689,0.300283905500428,0.15555555,0.05162949379848804,0.12602933101789493,0.15555555,0.21709194347235033,0.0,0.15555555,0.11573838434054018,0.035619160104050154,0.15555555,0.006219568240841703,0.1888183236386317,0.15555554628372192
206135_at,0.05435830656984266,0.04444444,0.0,0.0,0.04444444,0.6478452143060448,0.014341915526186251,0.04444444,0.420638087311026,0.0,0.04444444,0.5431983368116331,0.4881716159335628,0.04444444,0.7555098500606832,0.0,0.04444444,0.43927492869264495,0.0,0.04444444,0.28109694898617354,0.41367347762338136,0.04444444,0.5401310164538009,0.07311798589547214,0.04444444,0.22956774289389803,0.2474675363367011,0.04444444,0.02756919110325169,0.18734688574859307,0.04444444179534912
223748_at,0.16751264352686307,0.13333333,0.0,0.5165920620884721,0.13333333,0.37641898386800365,0.1192298940477319,0.13333333,0.20781366645490704,0.16079396048829012,0.13333333,0.09441888151701214,0.24512639922665874,0.13333333,0.31586201999890223,0.8265815531876785,0.13333333,0.0,0.4503004599029911,0.13333333,0.0,0.0,0.13333333,0.44249947993990874,0.23867389043333853,0.13333333,0.0,0.0,0.13333333,0.07646434359049954,0.18572071640439106,0.13333332538604736
236260_at,0.0031160540094156614,0.0,0.012601096910120268,0.6300618204322271,0.0,0.17068425778564303,0.4653886019452808,0.0,1.0,0.0,0.0,0.4843792083500521,0.34194264647701916,0.0,0.03183722511747396,0.08712200199368784,0.0,0.0,0.586499486212435,0.0,0.1861712562638281,0.47915161418175173,0.0,0.0,0.3576378088256189,0.0,0.33844344255481196,0.0,0.0,0.2928408678613632,0.182262579630691,0.012601096910120268
1568713_a_at,0.030506158564639126,0.26666665,0.0,0.006804337237028037,0.26666665,0.0,0.0,0.26666665,0.024219570939626962,0.0034036890285423617,0.26666665,0.07893074394609798,0.0051345845993395235,0.26666665,0.14193309187183115,0.904126986144763,0.26666665,0.047132639757596226,0.15926111112001753,0.26666665,0.3516164441192005,0.514891739631189,0.26666665,0.015504469739016032,0.3207945800253343,0.26666665,0.02354014793425222,0.011769026198652397,0.26666665,0.08516184497816318,0.1797132557852079,0.15926111112001753
230526_at,0.0,0.0,0.006193649762096281,0.04024422979126933,0.0,0.7621005964695877,0.2802801933658431,0.0,0.21919321932689703,0.18681961789134235,0.0,0.04829162932145502,0.0,0.0,0.4694869331821863,0.5501565083960201,0.0,0.2560464685323602,0.0,0.0,0.2312046097857599,0.9248600220524817,0.0,0.4053930732654411,0.6537274575168194,0.0,0.3326153530024261,0.0,0.0,0.0,0.17888711872206617,0.006193649762096281
215784_at,0.0,0.15555555,0.7740035325251465,0.0,0.15555555,0.42883718578798413,0.0,0.15555555,0.19756928337275598,0.0,0.15555555,0.6385339096805873,0.07374803690405156,0.15555555,0.005424223190278521,0.3984653960678188,0.15555555,0.07474462848156314,0.0,0.15555555,0.2375818614275177,0.06176495256742725,0.15555555,0.1492079950891545,0.2810093605036668,0.15555555,0.0,0.0,0.15555555,0.43790430862592344,0.17714500456870316,0.15555554628372192
229627_at,0.0,0.19999999,0.05446592170222938,0.40996243645081554,0.19999999,0.4794624280325407,0.0,0.19999999,0.0,0.019093128230703155,0.19999999,0.23791888153374566,0.32953788658708016,0.19999999,0.11404890855907036,0.7115884158658786,0.19999999,0.0,0.10277871344206717,0.19999999,0.2032693746615896,0.08331355032172087,0.19999999,0.039071963749560484,0.4884676666131647,0.19999999,0.0,0.0,0.19999999,0.025172551956183915,0.17660505694990203,0.19999998807907104
239886_at,0.19775483609704975,0.0,0.06350396202528219,0.519007375401053,0.0,0.46024821173062613,0.43599348782101693,0.0,0.2270195575472506,0.19980970375134713,0.0,0.004090913605388859,0.0,0.0,0.0,0.17022478413779507,0.0,0.07197944885396035,0.3848178681076826,0.0,0.2920216821224962,0.5780095225453985,0.0,0.11029714104399926,0.7103689173896497,0.0,0.21934812426079697,0.4576408368931677,0.0,0.0,0.17007121244446535,0.07197944885396035
222978_at,0.01894828413588177,0.0,0.06767954303139452,0.4932529917337075,0.0,0.3288433535656752,0.35640123136790147,0.0,0.0,0.35643455521070816,0.0,0.07952482894792964,0.0,0.0,0.18142020858861438,0.5047935129005018,0.0,0.45810830400430386,0.7229791435617086,0.0,0.10334501285163625,0.542538170572149,0.0,0.44008207112355807,0.004319945738617795,0.0,0.07062044380275662,0.21636743988251134,0.0,0.0928701008636378,0.16795097139610646,0.07062044380275662
1552742_at,0.0033680891491652738,0.26666665,0.15711378868970788,0.0769697693264324,0.26666665,0.2666925979203341,0.0,0.26666665,0.06339224794498809,0.0,0.26666665,0.06873342707625418,0.0,0.26666665,0.3285610885112363,0.0,0.26666665,0.0074788328496715566,0.14763141647923292,0.26666665,0.003361882011194326,0.9040173747525245,0.26666665,0.164952772686527,0.09113756588279685,0.26666665,0.0,0.05866182506656826,0.26666665,0.0,0.16695797286891936,0.15711378868970788
218862_at,0.23009966237731988,0.04444444,0.28632606492092627,0.023906083677571712,0.04444444,0.242833999550388,0.828515531379488,0.04444444,0.09263077870243025,0.04296159575744602,0.04444444,0.058693391693171226,0.32752934790362437,0.04444444,0.35345853319637605,0.062197241443811196,0.04444444,0.3911458647495668,0.0,0.04444444,0.0,0.13745397610172017,0.04444444,0.03175738065429929,0.6047014919336183,0.04444444,0.13114847528492757,0.2691733977696954,0.04444444,0.441631237349594,0.1666869490799822,0.058693391693171226
207375_s_at,0.0,0.19999999,0.23641096020582603,0.18156395795766597,0.19999999,0.3880110663655726,0.09356849354901875,0.19999999,0.0,0.0,0.19999999,0.14090157561514594,0.2767630600834033,0.19999999,0.33219860225388714,0.0,0.19999999,0.08719525327179603,0.19693998993238163,0.19999999,0.19204832439020056,0.1089716743425354,0.19999999,0.16858012491003152,0.30820717603778164,0.19999999,0.1046348052963832,0.0,0.19999999,0.10010343578620114,0.1638699460262847,0.19693998993238163
227134_at,0.7376806896337821,0.02222222,0.0,0.6240926787677176,0.02222222,0.13025472865633747,0.42953208970893386,0.02222222,0.03257626589026587,0.3757082460336789,0.02222222,0.2564138927339667,0.11425241438931617,0.02222222,0.09960025567508701,0.0,0.02222222,0.39036717092973094,0.3838523812078372,0.02222222,0.16376487275090632,0.0,0.02222222,0.15021438495967207,0.10896382110249032,0.02222222,0.26156783389419913,0.0,0.02222222,0.415014026106892,0.16320259871391862,0.09960025567508701
43511_s_at,0.31130026333110156,0.04444444,0.0546971667302008,0.6593268189184412,0.04444444,0.16562469268522642,0.6323107910897348,0.04444444,0.12742660065251946,0.0,0.04444444,0.0475284586731365,0.0,0.04444444,0.06744878250977404,0.0,0.04444444,0.0,0.7372885583199601,0.04444444,0.0,0.8883976402353048,0.04444444,0.0,0.0,0.04444444,0.23913991770125018,0.2263862771641781,0.04444444,0.2455094808249121,0.16156099555964104,0.04444444179534912
1556224_a_at,0.05907741660153153,0.15555555,0.006843080746118706,0.09469736871888276,0.15555555,0.08323756388694684,0.0,0.15555555,0.1763520878240407,0.0,0.15555555,0.3345422486021,0.2942720425468971,0.15555555,0.18823073532004486,0.6369252949617015,0.15555555,0.0,0.0,0.15555555,0.06982589595423651,0.25367697459969557,0.15555555,0.0,0.4482584965234922,0.15555555,0.33395773615045216,0.19365679583765655,0.15555555,0.01450958478985839,0.1581206261966958,0.15555554628372192
