,0_RF,1_XGB,3_ExtraTrees,6_RF,7_XGB,9_ExtraTrees,12_RF,13_XGB,15_ExtraTrees,18_RF,19_XGB,21_ExtraTrees,24_RF,25_XGB,27_ExtraTrees,30_RF,31_XGB,33_ExtraTrees,36_RF,37_XGB,39_ExtraTrees,42_RF,43_XGB,45_ExtraTrees,48_RF,49_XGB,51_ExtraTrees,54_RF,55_XGB,57_ExtraTrees,MEAN,MEDIAN
1569566_at,0.0,0.33783782,0.8889729564181287,0.0,0.33783782,1.0,1.0,0.33783782,0.7311906836966713,0.0,0.33783782,0.5144822647720259,0.0,0.33783782,0.9968567184649632,0.06766409606240709,0.33783782,0.0,0.0,0.33783782,1.0,1.0,0.33783782,0.8902214016243296,0.0,0.33783782,0.14628717214896012,1.0,0.33783782,0.7578413608512083,0.4457298268961995,0.337837815284729
1053_at,0.0,1.0,0.0,0.0,1.0,0.04232578359778759,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08968760331344247,0.0,1.0,0.0,0.0,1.0,0.1336970956295448,0.0,1.0,0.1769054382381163,0.0,1.0,0.0,0.0,1.0,0.0,0.3480871973592964,0.0
215784_at,0.6238539880434064,0.0,0.35847257903724744,0.0,0.0,0.16778099593133225,0.18758858932017303,0.0,0.7779201447436199,0.3659750618294758,0.0,0.08073929988424902,0.8476922947553724,0.0,0.45456973684477414,0.4454773201241826,0.0,0.43890038863394937,0.3031951785392983,0.0,0.0,0.0,0.0,0.0,0.5635413660839285,0.0,0.48956296089878193,0.0,0.0,0.36694854162774404,0.21574061487658452,0.08073929988424902
1554689_a_at,0.0,0.013513514,1.0,0.35453766202918335,0.013513514,0.0,0.0,0.013513514,0.8657781020855666,0.14129761070638464,0.013513514,0.5491940724616126,0.8197459487818595,0.013513514,0.037834054046809173,0.0,0.013513514,0.5924801677447212,0.0,0.013513514,0.711419568079018,0.0,0.013513514,0.0,0.5589763704574101,0.013513514,0.29025832923284656,0.3226261112840217,0.013513514,0.0,0.2126427711772261,0.013513513840734959
229380_at,0.38991540218339016,0.027027028,0.9421826077449168,0.2147397067724757,0.027027028,0.0,0.0,0.027027028,0.5315493226963816,0.0,0.027027028,0.0,0.7351601480353885,0.027027028,0.5999083703824792,0.0,0.027027028,0.07547206293726923,0.0,0.027027028,0.7252306216591602,0.00600500729571274,0.027027028,0.0,0.4462947668139201,0.027027028,1.0,0.0,0.027027028,0.0,0.19789094311119312,0.027027027681469917
1552564_at,0.0,0.2027027,0.0,0.01073647086027487,0.2027027,0.0,0.4112232791341688,0.2027027,0.4261862768736192,0.0,0.2027027,0.48964390039648276,0.7593648027565715,0.2027027,0.0,0.9004608896538789,0.2027027,0.0,0.3463074099200436,0.2027027,0.0,0.0,0.2027027,0.0,0.0,0.2027027,0.04648872559917158,0.27836262245454146,0.2027027,0.0,0.18986004628554723,0.20270270109176636
236260_at,0.2103604773113589,0.0,0.08789339396190832,0.7767564177710015,0.0,0.6697213544908218,0.41192273124881645,0.0,0.45714051746002743,0.0,0.0,0.0,0.3341135924328523,0.0,0.0,0.21689758642052706,0.0,0.0,0.35342621950045733,0.0,0.43808412473694197,0.0,0.0,0.7413884837712877,0.0,0.0,0.0,0.5798370273555057,0.0,0.0,0.17591806421538356,0.0
223017_at,0.0,0.12162162,0.10825921130366353,0.0,0.12162162,0.0,0.0,0.12162162,1.0,0.0,0.12162162,0.0,1.0,0.12162162,0.30734328076690043,0.0,0.12162162,0.5355701289161943,0.173453929656261,0.12162162,0.11295489118307944,0.20203805818578546,0.12162162,0.42346314664464296,0.0,0.12162162,0.0,0.048226912848997036,0.12162162,0.0,0.1709175265286148,0.12162162363529205
214727_at,0.0,0.17567568,0.3160222659522058,0.0,0.17567568,0.0,0.0,0.17567568,0.0,0.5056623783745028,0.17567568,0.2614784834311076,0.0,0.17567568,0.0,0.4473686412634359,0.17567568,0.2474048540010133,0.018961277820247865,0.17567568,0.3080428222953698,0.0,0.17567568,0.4793453274968925,0.20754997142414647,0.17567568,0.0,0.22165708918615804,0.17567568,0.0,0.15900832879914986,0.1756756752729416
202255_s_at,0.0,0.054054055,0.40351501005355733,0.0,0.054054055,0.18775246779177474,0.3532903277716831,0.054054055,0.4614386679345236,0.0,0.054054055,0.11043514533317561,0.6977259492133782,0.054054055,0.0,0.0,0.054054055,0.43055487107685164,1.0,0.054054055,0.0,0.0,0.054054055,0.0,0.34856300186551253,0.054054055,0.0,0.0,0.054054055,0.0,0.15112719982232853,0.054054055362939835
