,1_XGB,3_ExtraTrees,7_XGB,9_ExtraTrees,13_XGB,15_ExtraTrees,19_XGB,21_ExtraTrees,25_XGB,27_ExtraTrees,31_XGB,33_ExtraTrees,37_XGB,39_ExtraTrees,43_XGB,45_ExtraTrees,49_XGB,51_ExtraTrees,55_XGB,57_ExtraTrees,MEAN,MEDIAN
1007_s_at,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5
1487_at,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.8076923,0.0,0.4038461446762085,0.4038461446762085
1053_at,0.6153846,0.0,0.6153846,0.0,0.6153846,0.0,0.6153846,0.2973117509179732,0.6153846,0.0,0.6153846,0.0,0.6153846,0.0,0.6153846,0.0,0.6153846,0.0,0.6153846,0.0,0.32255787689831567,0.32255787689831567
1569566_at,0.42307693,0.0,0.42307693,0.0,0.42307693,0.280459898929339,0.42307693,0.3341432327609801,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.5194145802753539,0.42307693,0.0,0.42307693,0.5179796063729896,0.294138329747881,0.42307692766189575
117_at,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.46153846,0.0,0.23076923191547394,0.23076923191547394
206293_at,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.21153846383094788,0.21153846383094788
1552287_s_at,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.42307693,0.0,0.21153846383094788,0.21153846383094788
1316_at,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.2502046726355803,0.38461536,0.0,0.38461536,0.0,0.20481791447703962,0.2502046726355803
121_at,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.38461536,0.0,0.19230768084526062,0.19230768084526062
201015_s_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.8326240321552659,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.17624657819944572,0.26923075318336487
1567080_s_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
1294_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
201328_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
243277_x_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
1555314_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
216419_at,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.26923075,0.0,0.13461537659168243,0.13461537659168243
236260_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.6128984270687347,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.12679876177606703,0.19230768084526062
209930_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487122229994895,0.0,0.6842427182902792,0.0,0.0,0.0,0.39553308550442406,0.0,0.6336522961194911,0.1181070161456842,0.0
1552388_at,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.11538461595773697,0.11538461595773697
1552271_at,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.11538461595773697,0.11538461595773697
1557450_s_at,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.11538461595773697,0.11538461595773697
203010_at,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.23076923,0.0,0.11538461595773697,0.11538461595773697
205639_at,0.0,1.0,0.0,0.294921784435448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147460892217724,0.0
212549_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.26176442127847555,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.10924206148655409,0.19230768084526062
223748_at,0.15384614,0.6117216778181273,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.10750915622901061,0.1538461446762085
229450_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.20755823830973005,0.1065317523381168,0.19230768084526062
223600_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434795653908445,0.0,0.0,0.0,0.814945761437458,0.0,0.0,0.0,0.6246257995979483,0.0,0.0,0.09915255632131255,0.0
