,0_RF,1_XGB,2_LGBM,3_ExtraTrees,6_RF,7_XGB,8_LGBM,9_ExtraTrees,12_RF,13_XGB,14_LGBM,15_ExtraTrees,18_RF,19_XGB,20_LGBM,21_ExtraTrees,24_RF,25_XGB,26_LGBM,27_ExtraTrees,30_RF,31_XGB,32_LGBM,33_ExtraTrees,36_RF,37_XGB,38_LGBM,39_ExtraTrees,42_RF,43_XGB,44_LGBM,45_ExtraTrees,48_RF,49_XGB,50_LGBM,51_ExtraTrees,54_RF,55_XGB,56_LGBM,57_ExtraTrees,MEAN,MEDIAN
203621_at,0.0,0.3469388,1.0,0.12126510243134898,0.0,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.48689580484767,0.3469388,1.0,0.0,0.23143704086747374,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.0,0.3469388,1.0,0.0,0.357724645926372,0.3469387888908386
220016_at,0.7361744603032307,0.26530614,0.6666666666666666,0.0,0.16107545013080393,0.26530614,0.6666666666666666,0.0,0.0,0.26530614,0.6666666666666666,0.0,0.0,0.26530614,0.6666666666666666,0.0,0.0,0.26530614,0.6666666666666666,0.0,0.5463477844790828,0.26530614,0.6666666666666666,0.0,0.0,0.26530614,0.6666666666666666,0.0,0.0,0.26530614,0.6666666666666666,0.0,0.5318709737256386,0.26530614,0.6666666666666666,0.0,0.40759399904828814,0.26530614,0.6666666666666666,0.31716108785035907,0.3004987967932952,0.26530614495277405
117_at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0
205967_at,0.0,0.1632653,0.6666666666666666,0.0,0.1649678399312884,0.1632653,0.6666666666666666,0.062435252300397565,0.1538081144042648,0.1632653,0.6666666666666666,0.0,0.06652329976937493,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.08898759657441327,0.0,0.1632653,0.6666666666666666,0.1608559616301161,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.365361419985206,0.23405647947586578,0.16326530277729034
210397_at,0.0,0.1632653,0.6666666666666666,0.2732296834645913,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.10390728008463201,0.1632653,0.6666666666666666,0.0,0.14203545440495804,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.5289950926223564,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.0,0.1632653,0.6666666666666666,0.0,0.2336871801254027,0.16326530277729034
214737_x_at,0.0,0.06122449,0.6666666666666666,0.0,0.131533512382646,0.06122449,0.6666666666666666,0.0,0.0,0.06122449,0.6666666666666666,0.0,0.0,0.06122449,0.6666666666666666,0.16370442490733542,0.0,0.06122449,0.6666666666666666,0.0,0.0,0.06122449,0.6666666666666666,0.25336743064530537,0.48609378948401133,0.06122449,0.6666666666666666,0.0,0.1396054125728196,0.06122449,0.6666666666666666,0.0,0.0,0.06122449,0.6666666666666666,0.22920796201469096,0.0,0.06122449,0.6666666666666666,0.032807914982606025,0.21788080044243427,0.06122449040412903
216457_s_at,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.32851125621803007,0.0,0.6666666666666666,0.0,0.06160060098300718,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.5241634089186715,0.0,0.6666666666666666,0.0,0.5201852793137047,0.0,0.6666666666666666,0.26108789749917616,0.20905537773998137,0.0
1053_at,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.0,0.46938777,0.3333333333333333,0.0,0.20068027575810748,0.20068027575810748
209351_at,0.8272721056179608,0.0,0.0,0.8720015188388845,0.5369640431154836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48499615377577077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5265493222977792,0.0,0.0,0.5563417618381769,0.1701031226371014,0.0
201653_at,0.0,0.12244898,0.3333333333333333,0.42653773599486045,0.5723603575945886,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.46014726777013926,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.512793895581575,0.12244898,0.3333333333333333,0.03061401463592509,0.0,0.12244898,0.3333333333333333,0.0,0.16400691032482506,0.12244898080825806
201680_x_at,0.0,0.12244898,0.3333333333333333,0.3065831214003558,0.1259466820383563,0.12244898,0.3333333333333333,0.0,0.44099844386965176,0.12244898,0.3333333333333333,0.3044882152467498,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.0,0.12244898,0.3333333333333333,0.0,0.46985614582974705,0.12244898,0.3333333333333333,0.0,0.15514239374501937,0.12244898080825806
205627_at,0.0,0.18367347,0.3333333333333333,0.0,0.10630179927966531,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.1417583567841052,0.16563860378401996,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.0,0.18367347,0.3333333333333333,0.0,0.13959417013262487,0.16563860378401996
213680_at,0.681362613807511,0.0,0.0,0.0,0.0,0.0,0.0,0.5641686961363462,0.0,0.0,0.0,0.0,0.4955199468995308,0.0,0.0,0.0,0.0,0.0,0.0,0.359979618071946,0.4471025223036292,0.0,0.0,0.0,0.0,0.0,0.0,0.13828595419723208,1.0,0.0,0.0,0.0,0.9515949820690749,0.0,0.0,0.27149329194125066,0.5443701144130388,0.0,0.0,0.0,0.136346943495989,0.0
201042_at,0.0,0.3469388,0.0,0.0,0.0,0.3469388,0.0,0.0,0.0,0.3469388,0.0,0.2797037822612863,0.0,0.3469388,0.0,0.0,0.0,0.3469388,0.0,0.26593717495112495,0.46970799439816113,0.3469388,0.0,0.0,0.06931409484828574,0.3469388,0.0,0.0,0.0,0.3469388,0.0,0.0,0.19948063969045848,0.3469388,0.0,0.0,0.0,0.3469388,0.0,0.0,0.11883828937644259,0.0
33322_i_at,0.38064878500577265,0.0,0.0,0.4863888541636999,0.0,0.0,0.0,0.11246363710772615,0.0,0.0,0.0,0.14909239644597413,0.9345861024493863,0.0,0.0,0.881964617610333,0.0,0.0,0.0,0.5437570541363386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08514756944019562,0.0,0.0,0.0,0.8778642500960073,0.26887402721406234,0.0,0.0,0.0,0.11801968234173739,0.0
201015_s_at,0.7489996954585035,0.0,0.0,0.36137528306229416,0.8746157482290641,0.0,0.0,0.0,0.4333229217760374,0.0,0.0,0.0,0.5036496274191198,0.0,0.0,0.0,0.44202823902718325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04830098141683979,0.38992220233918995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4735382858543435,0.0,0.0,0.0,0.1068938246145644,0.0
218531_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.44829031629732335,0.3967698209147737,0.0,0.3333333333333333,0.04189415291800182,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.10550719058658582,0.0
201446_s_at,0.0,0.0,0.3333333333333333,0.0,0.5319473009613642,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3422567970377948,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.1051884357833123,0.0
209905_at,0.7024737894112016,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.008253864534151431,0.10110152468196716,0.0
222209_s_at,0.0,0.0,0.3333333333333333,0.0,0.39265761162129176,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.2744073061951544,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.10000995627874447,0.0
204268_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257611191444859,0.0,0.0,0.0,0.3978873441496714,0.0,0.0,0.48487496669659774,0.0,0.0,0.0,0.0,0.783239271375387,0.0,0.0,0.07593024119379163,0.5041696596020407,0.0,0.0,0.0,0.0,0.0,0.0,0.304400298412125,0.0,0.0,0.0,0.0,0.08690657251435248,0.0
205799_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.07374581667566703,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08517697875022501,0.0
209800_at,0.0,0.0,0.0,0.9951414065021177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956408899726205,0.12371970969117063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296088468173098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6282002313322789,0.0,0.0,0.0,0.9113721025617433,0.0,0.0,0.0,0.08459207967193103,0.0
208985_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.030511600050567324,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08409612333459751,0.0
210177_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.02786652990530543,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08402999658096597,0.0
214277_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.016895776348467124,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08375572774204501,0.0
217967_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.005780562772705644,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08347784740265096,0.0
208148_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0
207479_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0
214105_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0
