,0_RF,1_XGB,2_LGBM,3_ExtraTrees,6_RF,7_XGB,8_LGBM,9_ExtraTrees,12_RF,13_XGB,14_LGBM,15_ExtraTrees,18_RF,19_XGB,20_LGBM,21_ExtraTrees,24_RF,25_XGB,26_LGBM,27_ExtraTrees,30_RF,31_XGB,32_LGBM,33_ExtraTrees,36_RF,37_XGB,38_LGBM,39_ExtraTrees,42_RF,43_XGB,44_LGBM,45_ExtraTrees,48_RF,49_XGB,50_LGBM,51_ExtraTrees,54_RF,55_XGB,56_LGBM,57_ExtraTrees,MEAN,MEDIAN
203621_at,0.0,0.3809524,1.0,0.0,0.039906170720323875,0.3809524,1.0,0.0,0.0,0.3809524,1.0,0.0,0.0,0.3809524,1.0,0.0,0.0,0.3809524,1.0,0.0,0.08716766335419121,0.3809524,1.0,0.0,0.04379921334185146,0.3809524,1.0,0.2622353755719038,0.0,0.3809524,1.0,0.0,0.0,0.3809524,1.0,0.06561865716812293,0.0,0.3809524,1.0,0.0,0.35770627401595284,0.35770627401595284
220016_at,0.6802781016319362,0.3333333,0.5,0.0,0.476904152313457,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0819950848640373,0.0,0.3333333,0.5,0.665621248172003,0.5796893182956142,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.6221287778109797,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.5504129473496032,0.018609930086033292,0.3333333,0.5,0.05100035092880153,0.30149932615259123,0.3333333134651184
205627_at,0.31936393198535845,0.3333333,0.5,0.0,0.9288900489248219,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,0.4875898738162694,0.3333333,0.5,0.0,0.5439768682049917,0.3333333,0.5,0.0,0.0,0.3333333,0.5,0.0,1.0,0.3333333,0.5,0.13826181777683505,0.2937853918839865,0.3333333134651184
1053_at,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.0037837230516126,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.025938716898332152,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.0,0.88095236,0.25,0.0,0.283481150560211,0.25
205967_at,0.0,0.1904762,0.75,0.0,0.5508687724023442,0.1904762,0.75,0.012581129932411575,0.0,0.1904762,0.75,0.0,0.0,0.1904762,0.75,0.0,0.38453722046071626,0.1904762,0.75,0.0,0.04813331496448405,0.1904762,0.75,0.0,0.0,0.1904762,0.75,0.10884376306334657,0.0,0.1904762,0.75,0.0,0.0,0.1904762,0.75,0.0,0.2883108196450903,0.1904762,0.75,0.023448075247416572,0.27053712589891676,0.190476194024086
1598_g_at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0
214737_x_at,0.3363538371005906,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.04106216583298675,0.0,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.0,0.5659294540119718,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.22234214557437404,0.0,0.07142857,0.5,0.0,0.0,0.07142857,0.5,0.0,0.17199933185577226,0.0714285671710968
205916_at,0.0,0.0,0.0,0.5087279644221695,0.5289428743583622,0.0,0.0,0.6880009126648118,0.5339298846799065,0.0,0.0,0.0,0.32676859582240103,0.0,0.0,0.5796503379383667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3756619858942266,0.0,0.0,0.0,0.473625985230901,0.5782729315067401,0.0,0.0,0.0,0.0,0.0,0.0,0.23808829072456897,0.0,0.0,0.0,0.516008841393622,0.15869196511590192,0.0
210397_at,0.0,0.1904762,0.25,0.024735557525678884,0.41311872930384885,0.1904762,0.25,0.0,0.08234719951669142,0.1904762,0.25,0.054976635260336026,0.3334997875571786,0.1904762,0.25,0.0,0.0,0.1904762,0.25,0.0,0.5619736631345041,0.1904762,0.25,0.0,0.0,0.1904762,0.25,0.0,0.0,0.1904762,0.25,0.0,0.0,0.1904762,0.25,0.0,0.35822265610080073,0.1904762,0.25,0.0,0.15584090421599744,0.190476194024086
200751_s_at,0.6677900580874496,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.9733807054331917,0.0,0.25,0.0,0.36783989170654435,0.0,0.25,0.0,0.0,0.0,0.25,0.1428060019808179,0.0,0.0,0.25,0.029142341214663768,0.0,0.0,0.25,0.00746158018406269,0.5565214466872422,0.0,0.25,0.4247088600339027,0.06100629291366858,0.0,0.25,0.0,0.3209602487972849,0.0,0.25,0.0,0.15129043567597072,0.00746158018406269
