,0_RF,1_XGB,2_LGBM,3_ExtraTrees,6_RF,7_XGB,8_LGBM,9_ExtraTrees,12_RF,13_XGB,14_LGBM,15_ExtraTrees,18_RF,19_XGB,20_LGBM,21_ExtraTrees,24_RF,25_XGB,26_LGBM,27_ExtraTrees,30_RF,31_XGB,32_LGBM,33_ExtraTrees,36_RF,37_XGB,38_LGBM,39_ExtraTrees,42_RF,43_XGB,44_LGBM,45_ExtraTrees,48_RF,49_XGB,50_LGBM,51_ExtraTrees,54_RF,55_XGB,56_LGBM,57_ExtraTrees,MEAN,MEDIAN
220016_at,0.9729866248843916,0.36,0.6666666666666666,0.021774121446516352,0.5172251814203336,0.36,0.6666666666666666,0.1569753227569978,0.26621437382146684,0.36,0.6666666666666666,0.1438521547012486,0.10576981239652264,0.36,0.6666666666666666,0.06458284876244161,0.6734864274553516,0.36,0.6666666666666666,0.0,0.0,0.36,0.6666666666666666,1.0,0.2926553174187778,0.36,0.6666666666666666,0.16240200934631657,0.0,0.36,0.6666666666666666,0.007067245256490754,0.4961119053916176,0.36,0.6666666666666666,0.4760286949910975,1.0,0.36,0.6666666666666666,0.0,0.41559497124418454,0.36000001430511475
210397_at,0.5517586125606586,0.16,0.6666666666666666,0.6023089998948833,0.5567837411813347,0.16,0.6666666666666666,0.00499734256282461,0.04633030961207042,0.16,0.6666666666666666,0.0,0.0,0.16,0.6666666666666666,0.0,0.6919140029587589,0.16,0.6666666666666666,0.0,0.0,0.16,0.6666666666666666,0.052919204147936875,0.8300671181085288,0.16,0.6666666666666666,0.0,1.0,0.16,0.6666666666666666,0.0,0.0,0.16,0.6666666666666666,0.23471450620520193,0.0,0.16,0.6666666666666666,0.0,0.3209615117034019,0.1599999964237213
205627_at,0.8682852465998431,0.19999999,0.6666666666666666,0.0,0.0,0.19999999,0.6666666666666666,0.056111543602190006,0.22458336019755798,0.19999999,0.6666666666666666,0.0,0.4881255957211702,0.19999999,0.6666666666666666,0.0,0.37448013512531353,0.19999999,0.6666666666666666,0.6333212647285776,0.0,0.19999999,0.6666666666666666,0.0,0.0,0.19999999,0.6666666666666666,0.0,0.0,0.19999999,0.6666666666666666,0.0,0.4468112255452593,0.19999999,0.6666666666666666,0.0,0.44285769527139834,0.19999999,0.6666666666666666,0.0,0.3050310653562172,0.19999998807907104
1431_at,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.0,0.45999998,0.6666666666666666,0.0,0.2816666613022486,0.2816666613022486
213182_x_at,0.0,0.0,1.0,0.10065936425542074,0.1443196128504817,0.0,1.0,0.0,0.03922255851203777,0.0,1.0,0.0,0.11563581573119816,0.0,1.0,0.0,0.0,0.0,1.0,0.19880007911900505,0.0,0.0,1.0,0.14768074873071477,0.0,0.0,1.0,0.21640809978633,0.030972426392155448,0.0,1.0,0.0,0.0,0.0,1.0,0.00656551065751324,0.0,0.0,1.0,0.031753638431403046,0.2758004463616565,0.00656551065751324
1598_g_at,0.0,1.0,0.0,0.3169652293907207,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.24723018448904874,0.0,1.0,0.0,0.046410991956092953,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0311683456742481,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2660443687877527,0.0
209125_at,0.0,0.0,0.6666666666666666,0.6555469226435274,0.5464375562841214,0.0,0.6666666666666666,0.0,0.5046173657089886,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.46502767397958605,0.4859647077008337,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.06034158394621085,0.32308240093625834,0.0,0.6666666666666666,0.47524353272860365,0.0,0.0,0.6666666666666666,0.3876848522781327,0.0,0.0,0.6666666666666666,0.0,0.2642653315718232,0.0
209465_x_at,0.3652274713774634,0.0,0.6666666666666666,0.0,0.0886573161665881,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.07730315995665776,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3513793246569778,0.0,0.0,0.6666666666666666,0.0,0.18873084847060884,0.0
206164_at,0.0,0.0,0.3333333333333333,0.8317999112353863,0.36537373617582913,0.0,0.3333333333333333,0.3462847189774121,0.2475519429504625,0.0,0.3333333333333333,0.06119566003253328,0.0,0.0,0.3333333333333333,0.004904718765377588,0.0,0.0,0.3333333333333333,0.0,0.4376243988216864,0.0,0.3333333333333333,0.4169229580026491,0.0,0.0,0.3333333333333333,1.0,0.2510583172060564,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.18240124238751815,0.004904718765377588
204288_s_at,0.06470026827740429,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.03236638239072905,0.08560816200689644,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.02415375327299656,0.032763795845174554,0.0,0.6666666666666666,0.04380051020424195,0.25259018602826827,0.0,0.6666666666666666,0.013733006565293459,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.18040956828144178,0.0
